Ufresidencia;SIGLA;AIDS2020;AIDS2021;AIDS2022;AIDS2023;POP2024;POP2022
Acre;AC;47;104;118;62;880631;830018
Alagoas;AL;521;607;617;302;3220104;3127683
Amapá;AP;168;217;223;93;802837;733759
Amazonas;AM;1.193;1.678;1.398;586;4281209;3941613
Bahia;BA;1.652;1.908;2.037;939;14850513;14141626
Ceará;CE;1.079;1.137;1.300;625;9233656;8794957
Distrito Federal;DF;380;428;420;204;2982815;2817381
Espírito Santo;ES;630;656;752;313;4102129;3833712
Goiás;GO;936;1.157;1.264;577;7350483;7056495
Maranhão;MA;905;1.122;1.333;577;7010960;6775805
Mato Grosso;MT;698;676;739;345;3836399;3658649
Mato Grosso do Sul;MS;434;625;618;296;2901895;2757013
Minas Gerais;MG;1.941;2.228;2.217;1.029;21322692;20538718
Pará;PA;1.671;2.135;2.332;966;8664306;8121025
Paraíba;PB;478;485;512;224;4145040;3974687
Paraná;PR;1.438;1.716;1.830;876;11824665;11444380
Pernambuco;PE;1.419;1.626;1.549;681;9539029;9058931
Piauí;PI;334;412;441;195;3375646;3271199
Rio de Janeiro;RJ;3.226;3.843;4.097;1.804;17219679;16054524
Rio Grande do Norte;RS;481;587;609;295;3446071;3302729
Rio Grande do Sul;RN;2.533;2.786;2.753;1.206;11229915;10882965
Rondônia;RO;277;349;377;187;1746227;1581196
Roraima;RR;133;188;231;118;716793;636707
Santa Catarina;SC;1.487;1.782;1.881;812;8058447;7610361
São Paulo;SP;5.952;6.314;6.461;2.663;45973190;44411238
Sergipe;SE;381;437;414;182;2291077;2209558
Tocantins;TO;168;221;230;124;1577342;1511460
