Regiaodesaude;cod;num_mapa;BCG1994;BCG1995;BCG1996;BCG1997;BCG1998;BCG1999;BCG2000;BCG2001;BCG2002;BCG2003;BCG2004;BCG2005;BCG2006;BCG2007;BCG2008;BCG2009;BCG2010;BCG2011;BCG2012;BCG2013;BCG2014;BCG2015;BCG2016;BCG2017;BCG2018;BCG2019;BCG2020;BCG2021;BCG2022; BCGTotal;POP2000;POP2001;POP2002;POP2003;POP2004;POP2005;POP2006;POP2007;POP2008;POP2009;POP2010;POP2011;POP2012;POP2013;POP2014;POP2015;POP2016;POP2017;POP2018;POP2019;POP2020;POP2021;PIB2010;PIB2011;PIB2012;PIB2013;Analfabetismo;Desemprego;BCGdose1994;BCGdose1995;BCGdose1996;BCGdose1997;BCGdose1998;BCGdose1999;BCGdose2000;BCGdose2001;BCGdose2002;BCGdose2003;BCGdose2004;BCGdose2005;BCGdose2006;BCGdose2007;BCGdose2008;BCGdose2009;BCGdose2010;BCGdose2011;BCGdose2012;BCGdose2013;BCGdose2014;BCGdose2015;BCGdose2016;BCGdose2017;BCGdose2018;BCGdose2019;BCGdose2020;BCGdose2021;BCGdose2022;POP1a2000;POP1a2001;POP1a2002;POP1a2003;POP1a2004;POP1a2005;POP1a2006;POP1a2007;POP1a2008;POP1a2009;POP1a2010;POP1a2011;POP1a2012;POP1a2013;POP1a2014;POP1a2015;POP1a2016;POP1a2017;POP1a2018;POP1a2019;POP1a2020;POP1a2021
11001 Vale do Jamari;11001;1;102,01;114,27;134,16;122,39;131,11;120,98;127,47;112,68;97,65;89,46;101,35;100,52;128,10;146,24;109,27;103,96;95,55;94,73;91,04;108,28;114,04;104,30;91,49;87,99;102,60;95,33;89,15;83,85;79,42;105,58;178670;184831;190510;195768;200836;205807;210623;215155;219523;223745;227832;232909;238008;243127;248349;253663;258757;263856;269044;274136;279122;284003;12203,13;14438,46;14657,43;14348,83;10,6;4,28;4154;3948;4473;4324;4855;4590;5040;5066;4568;4347;4418;4416;4659;4371;4548;4224;3882;3849;3699;4171;3679;3829;3428;3297;3675;3575;3343;3131;2336;4314;4339;4323;4264;4192;4134;4029;3947;3896;3847;3801;3880;4040;4209;4425;4636;4567;4637;4770;4785;4792;4803
14002 Sul;14002;2;68,99;98,17;68,91;100,11;92,00;99,45;63,06;76,81;118,41;107,21;94,50;110,47;102,98;105,00;96,81;109,62;107,84;88,21;69,12;25,29;29,38;53,13;57,15;97,14;131,59;65,54;73,42;25,56;29,99;80,28;54006;56034;58015;60008;62072;64075;66065;68114;70200;72292;74358;76097;77839;79589;81358;83119;84888;86709;88559;90395;92202;93978;9321,76;10789,67;11520;14152,51;15,2;7,79;672;1071;769;886;828;907;782;1040;1434;1458;1186;1308;1210;1261;1244;1413;1390;1137;891;302;399;713;759;1290;1808;1006;1127;419;399;1575;1562;1526;1476;1449;1404;1403;1426;1459;1470;1494;1547;1592;1638;1708;1744;1750;1778;1776;1775;1764;1758
11002 Café;11002;3;80,58;88,89;89,53;119,87;119,68;111,89;101,70;121,92;115,16;107,41;111,48;106,15;130,33;114,90;103,84;104,86;95,28;82,02;92,08;103,52;119,37;131,98;115,85;114,78;110,24;93,38;86,15;93,21;83,51;103,78;156973;157947;158847;159680;160480;161268;162032;162748;163438;164106;164753;165557;166363;167172;168000;168841;169646;170455;171275;172081;172870;173643;13848,71;14932,57;16530,91;16367,44;9,1;5,26;4650;4311;4378;4180;4190;3933;3589;3805;3609;3379;3448;3122;2952;2706;2649;2846;2586;2226;2499;2702;2909;3211;3026;2998;2897;2650;2445;2443;1790;3249;3230;3174;3093;3011;2931;2840;2771;2718;2669;2617;2546;2532;2514;2526;2537;2469;2472;2507;2479;2446;2423
11003 Central;11003;4;97,85;88,40;101,79;141,19;119,43;121,77;121,68;127,09;111,91;99,79;111,79;125,54;139,41;139,74;111,77;118,85;107,40;109,20;107,28;112,52;118,78;114,96;115,27;105,78;100,64;97,57;90,58;69,58;64,01;109,72;360398;359282;358255;357302;356384;355484;354613;353791;353000;352237;351496;350577;349654;348727;347782;346818;345896;344973;344033;343113;342211;341326;13394,38;14380,31;16363,27;15602,55;10,4;5,3;11310;8869;10552;10099;8957;8966;9059;9513;8502;7680;7480;7377;7167;5798;6390;6121;5531;5624;5525;6076;6129;5979;6040;5543;5052;5065;4702;3786;2800;7585;7478;7300;7068;6826;6586;6292;6031;5820;5624;5414;5293;5297;5297;5359;5416;5216;5177;5206;5106;4998;4905
11004 Madeira-Mamoré;11004;5;95,39;116,05;108,69;99,02;124,00;108,34;106,29;108,15;96,47;97,03;107,19;109,96;114,29;94,71;105,14;105,47;106,86;117,19;117,22;111,80;104,59;108,24;103,79;87,16;80,01;78,30;67,33;50,03;63,04;99,58;416042;430720;444245;456772;468841;480687;492156;502958;513361;523418;533152;545242;557394;569583;582023;594685;606820;618965;631326;643452;655331;666953;19732,67;23493,8;24293;22321,4;6,1;5,58;11992;12284;11950;9118;11666;10436;10457;10451;9491;9732;9596;10298;9799;8633;9877;9890;10020;10989;10992;11914;11304;11620;11279;9472;8327;8316;7151;5094;5075;9955;10114;10157;10113;10037;9975;9810;9691;9619;9562;9493;9378;9482;9576;9800;10008;9890;10082;10396;10452;10505;10522
11005 Zona da Mata;11005;6;94,59;104,72;94,98;135,30;116,09;118,86;112,54;108,83;92,50;84,87;98,27;109,49;107,13;101,34;105,82;96,70;102,75;103,05;104,65;93,45;92,31;99,90;92,12;93,77;94,89;74,83;33,80;55,85;89,04;98,14;141030;140697;140392;140106;139834;139565;139305;139062;138825;138597;138377;138102;137828;137550;137270;136982;136709;136433;136153;135877;135609;135345;10844,92;12356,09;14051,18;14057,31;11,4;5,44;5038;4413;4147;3783;3254;3290;3106;3033;2601;2407;2563;2514;2389;1962;2108;1935;2056;2062;2094;2011;1968;2011;1847;1880;1840;1501;678;1107;1393;2830;2805;2753;2676;2604;2521;2416;2327;2252;2179;2111;2072;2075;2081;2107;2132;2053;2040;2048;2009;1966;1929
11006 Cone Sul;11006;7;88,61;101,33;100,55;130,46;133,59;106,63;104,80;109,59;109,88;107,43;100,78;91,97;101,76;106,78;93,30;103,93;84,19;98,28;100,88;104,75;116,75;109,98;110,36;122,66;106,83;103,56;60,38;95,22;109,04;103,62;122259;124572;126706;128679;130583;132452;134259;135963;137602;139189;140723;142629;144545;146467;148429;150425;152338;154253;156201;158113;159987;161819;16376,32;17277,87;21195,91;20495,35;8,7;6,02;3579;3422;3493;3358;3460;2781;2749;2559;2591;2558;2330;2142;2253;1968;2116;2354;1907;2226;2285;2383;2425;2535;2577;2864;2470;2444;1425;2333;2191;2435;2521;2573;2600;2628;2656;2580;2515;2459;2414;2363;2314;2316;2316;2348;2379;2340;2367;2431;2431;2429;2426
11007 Vale do Guaporé;11007;8;87,31;51,30;111,46;87,60;81,23;85,33;72,43;86,95;80,68;102,14;109,76;106,12;113,24;132,78;95,03;137,67;162,33;120,32;114,40;91,85;114,33;112,57;94,36;120,13;89,84;92,67;68,93;72,73;59,42;96,95;33646;34730;35731;36656;37548;38424;39271;40070;40839;41582;42301;43194;44092;44994;45913;46849;47745;48643;49557;50453;51330;52189;9639,35;10843,47;11718,7;11843,3;9,6;4,62;633;335;720;643;636;727;654;786;760;1004;1001;954;975;806;669;698;823;610;580;642;766;770;703;895;619;683;508;512;306;937;915;886;845;806;762;755;750;754;761;761;785;825;862;913;961;943;954;981;977;972;976
12001 Alto Acre;12001;9;35,59;82,60;86,46;148,40;130,65;104,41;127,34;112,93;117,28;102,78;113,89;97,29;90,54;109,06;96,77;92,33;92,62;87,07;69,83;68,25;67,53;63,66;56,57;78,29;81,14;74,96;57,50;52,79;37,60;86,39;45139;46756;48391;50032;51641;53280;54922;56530;58149;59735;61202;62356;63546;64682;65845;67020;68114;69194;70318;71429;72528;73617;8454,43;9053,9;10260,98;12741,42;19,2;5,92;405;940;1015;1389;1249;1019;1509;1415;1541;1407;1476;1366;1263;1372;1439;1264;1268;1192;956;976;888;832;740;1024;1037;1060;813;748;431;1167;1196;1228;1251;1267;1287;1298;1300;1298;1296;1270;1296;1330;1297;1330;1354;1284;1272;1312;1303;1294;1291
12002 Baixo Acre e Purus;12002;10;90,39;152,26;111,24;95,85;113,09;120,45;93,37;128,82;121,24;111,27;113,81;106,55;114,70;115,82;117,14;112,71;119,32;117,35;109,84;117,38;118,82;113,10;107,07;99,70;104,34;98,54;81,38;76,58;66,33;108,81;370246;382905;395707;408542;421142;433962;446821;459411;472087;484485;495977;505021;514319;523223;532325;541518;550080;558537;567331;576027;584633;593149;13200,32;14050,57;15676,11;16895,84;12,5;8,2;7443;12411;9098;7559;9190;10079;9433;12166;12022;10980;11269;10930;11773;11690;12323;11097;11748;11554;10815;12391;11865;11871;11161;10393;10159;9756;8057;7385;4896;9725;9817;9870;9886;9832;9791;9918;9981;10058;10123;10013;10103;10295;9930;10083;10146;9640;9575;9889;9841;9803;9766
