Cod;Municipio;Homem_60_64_2000;Mulher_60_64_2000;Homem_65_69_2000;Mulher_65_69_2000;Homem_70_74_2000;Mulher_70_74_2000;Homem_75_79_2000;Mulher_75_79_2000;Homem_80_84_2000;Mulher_80_84_2000;Homem_85_89_2000;Mulher_85_89_2000;Homem_90_94_2000;Mulher_90_94_2000;Homem_95_99_2000;Mulher_95_99_2000;Homem_100_2000;Mulher_100_2000;cod_rgi;cod_rgint;cod_regiao_saude
1100015;Alta Floresta D'Oeste (RO);345;251;249;170;155;101;74;45;25;24;19;15;3;3;1;2;2;2;110005;1102;11005
1100023;Ariquemes (RO);751;569;551;426;367;246;184;146;81;69;37;18;11;15;8;11;5;3;110002;1101;11001
1100031;Cabixi (RO);107;105;99;59;51;35;32;17;13;14;8;3;4;2;3;2;1;0;110006;1102;11006
1100049;Cacoal (RO);773;726;572;545;456;394;261;197;134;109;51;50;10;15;4;8;4;3;110005;1102;11002
1100056;Cerejeiras (RO);253;211;180;159;143;102;78;54;47;28;13;10;2;9;1;2;2;0;110006;1102;11006
1100064;Colorado do Oeste (RO);301;290;260;192;145;114;117;67;50;41;17;17;7;6;2;1;0;1;110006;1102;11006
1100072;Corumbiara (RO);167;93;93;65;45;26;24;16;13;10;3;5;3;2;1;0;0;0;110006;1102;11006
1100080;Costa Marques (RO);120;69;87;64;80;30;35;12;15;13;6;3;0;1;1;0;0;0;110004;1102;11007
1100098;Espigão D'Oeste (RO);264;228;217;194;150;115;99;70;39;19;20;15;6;6;2;1;0;0;110005;1102;11002
1100106;Guajará-Mirim (RO);380;342;284;269;262;193;183;123;89;69;44;36;15;15;3;10;2;1;110001;1101;11004
1100114;Jaru (RO);605;490;444;380;298;218;192;144;101;70;42;28;9;12;3;3;7;5;110003;1101;11003
1100122;Ji-Paraná (RO);1053;948;808;765;596;488;344;335;190;139;72;66;24;25;12;10;4;9;110004;1102;11003
1100130;Machadinho D'Oeste (RO);307;145;160;106;100;69;61;23;18;13;6;8;1;4;3;2;3;2;110003;1101;11001
1100148;Nova Brasilândia D'Oeste (RO);203;146;190;116;139;70;57;34;23;13;11;9;1;6;1;1;1;1;110005;1102;11005
1100155;Ouro Preto do Oeste (RO);424;412;333;287;253;214;155;127;70;51;28;30;11;15;2;3;4;3;110004;1102;11003
1100189;Pimenta Bueno (RO);328;289;263;241;194;144;119;95;58;39;28;16;9;3;2;2;2;2;110005;1102;11002
1100205;Porto Velho (RO);2549;2576;1783;1888;1334;1308;851;842;441;445;175;231;61;83;32;32;31;28;110001;1101;11004
1100254;Presidente Médici (RO);347;341;284;219;197;162;107;82;78;27;21;21;6;4;3;2;2;0;110004;1102;11003
1100262;Rio Crespo (RO);50;32;40;25;19;10;12;4;3;6;0;0;0;0;0;0;0;0;110002;1101;11001
1100288;Rolim de Moura (RO);556;480;483;361;342;248;175;144;87;75;40;33;7;6;1;2;2;3;110005;1102;11005
1100296;Santa Luzia D'Oeste (RO);154;122;102;94;86;44;53;36;26;11;13;7;2;5;0;1;1;1;110005;1102;11005
1100304;Vilhena (RO);534;515;393;357;267;208;147;105;61;55;26;26;3;12;4;3;6;4;110006;1102;11006
1100320;São Miguel do Guaporé (RO);282;189;197;102;103;56;47;29;14;17;10;7;1;1;1;1;2;1;110004;1102;11003
1100338;Nova Mamoré (RO);176;89;106;59;66;46;41;25;17;13;4;7;1;2;0;1;0;2;110001;1101;11004
1100346;Alvorada D'Oeste (RO);250;187;189;152;153;66;66;43;29;16;12;8;5;1;0;2;2;3;110004;1102;11003
1100379;Alto Alegre dos Parecis (RO);147;101;97;54;62;35;28;16;13;11;2;3;1;0;0;0;0;1;110005;1102;11005
1100403;Alto Paraíso (RO);165;106;129;66;83;35;33;24;12;10;5;4;1;2;1;0;2;2;110002;1101;11001
1100452;Buritis (RO);263;101;136;66;69;41;35;17;10;9;3;1;1;3;2;4;2;1;110002;1101;11001
1100502;Novo Horizonte do Oeste (RO);185;116;121;83;69;36;40;25;14;12;3;5;2;0;0;1;0;2;110005;1102;11005
1100601;Cacaulândia (RO);65;43;43;30;32;16;18;7;8;3;3;1;0;0;1;0;0;1;110002;1101;11001
1100700;Campo Novo de Rondônia (RO);118;64;100;38;42;13;10;9;9;7;5;3;3;3;1;0;0;0;110002;1101;11001
1100809;Candeias do Jamari (RO);161;95;117;53;66;39;47;17;15;14;8;2;0;2;1;1;0;1;110001;1101;11004
1100908;Castanheiras (RO);67;60;49;25;32;17;15;7;12;4;3;1;1;0;0;1;0;0;110005;1102;11005
1100924;Chupinguaia (RO);74;33;48;21;24;10;7;4;7;4;1;3;1;0;1;1;0;1;110006;1102;11006
1100940;Cujubim (RO);78;33;48;24;21;10;6;3;3;2;1;1;1;0;2;0;5;3;110002;1101;11001
1101005;Governador Jorge Teixeira (RO);157;101;118;82;73;35;48;19;16;9;5;8;1;1;3;2;0;4;110003;1101;11003
1101104;Itapuã do Oeste (RO);94;63;55;36;34;18;15;8;7;5;8;3;1;1;1;0;0;1;110001;1101;11004
1101203;Ministro Andreazza (RO);132;97;99;75;60;60;55;39;17;6;6;3;1;4;1;1;1;2;110005;1102;11002
1101302;Mirante da Serra (RO);152;144;147;86;87;50;54;28;20;16;5;9;4;3;1;1;3;0;110004;1102;11003
1101401;Monte Negro (RO);181;105;102;72;83;36;30;15;7;12;6;3;2;1;2;0;1;1;110002;1101;11001
1101435;Nova União (RO);108;74;65;48;35;24;30;20;16;7;6;4;0;3;0;0;0;1;110004;1102;11003
1101450;Parecis (RO);47;26;31;15;19;8;5;5;5;1;2;2;0;0;1;0;2;0;110005;1102;11005
1101468;Pimenteiras do Oeste (RO);32;26;15;12;12;13;12;2;2;1;1;2;0;2;0;0;0;1;110006;1102;11006
1101476;Primavera de Rondônia (RO);69;49;46;21;31;14;25;14;9;3;1;1;1;2;1;1;0;1;110005;1102;11002
1101484;São Felipe D'Oeste (RO);98;67;76;40;43;26;23;17;12;8;3;5;1;0;0;0;0;2;110005;1102;11002
1101492;São Francisco do Guaporé (RO);121;47;74;25;41;21;14;5;5;4;2;2;0;2;0;0;1;0;110004;1102;11007
1101500;Seringueiras (RO);120;99;95;42;48;18;13;11;6;4;2;2;2;1;0;0;0;2;110004;1102;11007
1101559;Teixeirópolis (RO);77;58;59;53;46;32;26;18;12;3;3;6;2;1;1;0;0;4;110004;1102;11003
1101609;Theobroma (RO);138;102;100;42;55;20;21;23;10;8;3;6;1;1;0;0;1;4;110003;1101;11003
1101708;Urupá (RO);209;129;122;94;72;40;45;29;20;25;7;8;6;1;2;0;1;3;110004;1102;11003
1101757;Vale do Anari (RO);109;68;69;28;42;20;14;7;3;4;5;1;0;1;1;1;0;0;110003;1101;11003
1101807;Vale do Paraíso (RO);127;89;97;63;62;36;29;19;11;7;3;1;1;2;0;1;1;0;110004;1102;11003
1200013;Acrelândia (AC);100;53;66;39;49;22;19;13;8;8;1;0;2;0;0;0;0;1;120001;1201;12002
1200054;Assis Brasil (AC);29;23;22;23;23;23;23;13;13;3;3;3;0;0;2;0;1;0;120002;1201;12001
1200104;Brasiléia (AC);198;147;175;96;103;74;67;44;31;26;24;19;7;5;0;2;4;3;120002;1201;12001
1200138;Bujari (AC);68;20;61;25;39;14;19;13;10;4;5;1;2;1;0;0;0;0;120001;1201;12002
1200179;Capixaba (AC);62;35;46;16;35;14;17;15;6;5;3;4;1;1;1;0;0;1;120001;1201;12002
1200203;Cruzeiro do Sul (AC);613;579;462;422;333;279;222;210;137;138;89;85;28;35;11;15;1;3;120004;1202;12003
1200252;Epitaciolândia (AC);110;87;111;70;86;51;48;37;33;19;9;5;6;4;0;1;3;3;120002;1201;12001
1200302;Feijó (AC);252;193;173;145;165;128;75;61;59;34;28;15;12;8;4;5;3;1;120005;1202;12003
1200328;Jordão (AC);26;25;21;10;18;22;12;8;10;3;9;2;1;2;0;0;3;1;120005;1202;12002
1200336;Mâncio Lima (AC);110;76;54;55;42;53;37;27;27;21;10;14;5;2;1;1;0;1;120004;1202;12003
1200344;Manoel Urbano (AC);57;50;62;40;17;22;25;13;11;9;10;8;1;0;0;0;0;0;120003;1201;12002
1200351;Marechal Thaumaturgo (AC);54;33;41;24;30;19;18;12;13;5;3;2;2;0;0;0;1;4;120004;1202;12003
1200385;Plácido de Castro (AC);199;122;138;96;111;64;79;41;26;18;12;10;1;2;0;0;2;2;120001;1201;12002
1200393;Porto Walter (AC);41;32;28;25;19;19;9;6;11;4;5;1;2;3;0;0;0;0;120004;1202;12003
1200401;Rio Branco (AC);2019;2224;1546;1654;1279;1340;928;844;550;516;250;326;72;111;24;30;14;18;120001;1201;12002
1200427;Rodrigues Alves (AC);66;49;45;40;31;22;20;16;5;10;10;4;4;4;3;0;3;0;120004;1202;12003
1200435;Santa Rosa do Purus (AC);19;17;18;10;4;12;8;8;5;3;0;1;0;0;0;0;0;0;120003;1201;12002
1200450;Senador Guiomard (AC);211;194;177;120;156;87;88;56;53;35;21;20;7;4;2;4;1;1;120001;1201;12002
1200500;Sena Madureira (AC);286;227;235;186;182;145;109;97;68;64;41;38;10;17;4;6;1;2;120003;1201;12002
1200609;Tarauacá (AC);238;216;189;151;150;127;102;75;61;53;33;29;6;3;4;2;2;2;120005;1202;12003
1200708;Xapuri (AC);146;123;117;90;123;83;63;53;31;30;14;21;3;6;1;0;3;0;120002;1201;12001
1200807;Porto Acre (AC);130;96;104;59;81;43;48;15;25;11;11;4;2;0;2;2;0;1;120001;1201;12002
1300029;Alvarães (AM);120;83;85;52;48;38;33;18;14;10;5;4;1;3;1;0;0;2;130005;1302;13008
1300060;Amaturá (AM);65;60;39;47;37;24;21;17;21;14;7;4;2;2;2;2;1;0;130006;1302;13009
1300086;Anamã (AM);58;83;59;29;38;24;24;12;17;12;6;1;2;2;2;0;0;1;130004;1301;13002
1300102;Anori (AM);123;89;98;77;76;39;49;32;18;25;19;17;8;8;0;5;2;0;130003;1301;13002
1300144;Apuí (AM);139;76;75;51;55;18;20;13;8;4;6;4;2;5;0;2;0;0;130009;1303;13003
1300201;Atalaia do Norte (AM);66;66;65;28;41;26;25;12;7;3;6;3;2;3;1;7;1;0;130006;1302;13009
1300300;Autazes (AM);251;184;220;158;155;111;108;95;53;50;37;37;8;17;3;4;2;0;130001;1301;13001
1300409;Barcelos (AM);247;187;161;131;96;81;40;27;31;15;8;6;3;4;0;2;0;1;130002;1301;13001
1300508;Barreirinha (AM);202;202;181;164;146;125;108;100;58;55;35;41;7;24;3;2;2;3;130010;1304;13005
1300607;Benjamin Constant (AM);236;226;184;152;143;95;87;38;44;42;23;20;5;5;4;2;0;2;130006;1302;13009
1300631;Beruri (AM);104;85;107;59;53;42;34;29;26;10;9;9;6;1;0;2;2;2;130003;1301;13002
1300680;Boa Vista do Ramos (AM);91;78;94;65;54;24;38;43;31;24;15;11;1;3;1;2;4;1;130010;1304;13005
1300706;Boca do Acre (AM);277;260;225;184;145;124;120;72;42;54;26;35;9;13;1;2;2;3;130008;1303;13006
1300805;Borba (AM);256;233;215;144;153;118;111;80;64;70;36;57;10;16;1;8;5;3;130001;1301;13003
1300839;Caapiranga (AM);64;64;68;41;40;34;25;18;15;6;2;0;3;4;1;0;1;0;130004;1301;13002
1300904;Canutama (AM);98;70;84;41;35;34;29;13;11;11;2;2;0;2;1;1;0;1;130008;1303;13006
1301001;Carauari (AM);164;175;149;113;102;80;52;53;36;37;16;21;4;7;2;3;2;1;130005;1302;13007
1301100;Careiro (AM);281;215;241;166;168;93;100;58;38;25;14;17;9;5;0;1;2;0;130001;1301;13001
1301159;Careiro da Várzea (AM);262;170;193;130;125;92;81;57;38;29;15;20;9;4;5;2;2;3;130001;1301;13001
1301209;Coari (AM);510;468;415;343;278;231;198;145;99;89;46;36;22;18;6;8;3;2;130003;1301;13002
1301308;Codajás (AM);150;154;130;100;102;80;56;53;24;23;19;20;7;5;2;4;1;2;130003;1301;13002
1301407;Eirunepé (AM);178;181;158;150;121;88;76;50;37;35;30;21;12;8;2;4;3;3;130007;1302;13007
1301506;Envira (AM);123;106;136;81;59;41;31;13;27;12;17;10;8;9;0;2;1;2;130007;1302;13007
1301605;Fonte Boa (AM);238;207;186;144;78;78;92;53;46;44;12;17;14;12;3;1;0;5;130005;1302;13009
1301654;Guajará (AM);91;91;82;46;44;37;30;23;15;11;8;6;0;0;2;0;3;2;130007;1302;13007
1301704;Humaitá (AM);289;260;271;211;175;144;113;112;61;49;29;26;4;15;2;2;2;4;130009;1303;13003
1301803;Ipixuna (AM);80;88;64;49;56;36;49;39;34;13;11;6;2;2;1;1;1;1;130007;1302;13007
1301852;Iranduba (AM);374;329;261;230;175;133;99;83;55;41;30;25;10;19;3;3;4;6;130001;1301;13001
1301902;Itacoatiara (AM);764;639;583;514;416;331;252;252;147;141;78;89;32;57;17;16;1;6;130011;1304;13004
1301951;Itamarati (AM);40;28;42;28;27;13;17;17;8;6;2;6;0;1;2;0;0;0;130007;1302;13007
1302009;Itapiranga (AM);81;76;55;48;41;33;27;27;22;13;11;10;5;9;0;1;0;2;130011;1304;13004
1302108;Japurá (AM);100;67;52;38;39;12;10;8;5;0;1;1;0;1;0;1;0;0;130005;1302;13008
1302207;Juruá (AM);43;37;53;38;26;18;16;18;12;6;4;3;2;4;2;0;1;0;130005;1302;13008
1302306;Jutaí (AM);153;118;100;101;83;48;41;28;13;19;14;9;7;2;1;0;0;0;130005;1302;13009
1302405;Lábrea (AM);264;235;213;193;158;137;96;70;49;45;24;24;6;6;2;5;4;1;130008;1303;13006
1302504;Manacapuru (AM);769;675;587;499;424;376;264;259;134;130;71;86;23;28;11;12;6;7;130004;1301;13002
1302553;Manaquiri (AM);159;140;129;91;98;71;57;46;26;29;14;5;6;8;0;2;0;0;130001;1301;13001
1302603;Manaus (AM);10026;12023;7008;9168;5101;6860;3314;4497;1676;2548;769;1494;262;545;101;183;64;92;130001;1301;13001
1302702;Manicoré (AM);364;336;293;259;193;158;130;132;77;77;56;40;11;15;4;4;4;2;130009;1303;13003
1302801;Maraã (AM);127;88;86;57;59;32;29;18;16;10;7;6;7;3;1;1;0;3;130005;1302;13008
1302900;Maués (AM);386;346;411;344;300;218;198;178;104;88;48;58;12;18;1;6;4;4;130010;1304;13005
1303007;Nhamundá (AM);160;157;142;110;101;72;66;63;32;40;20;21;4;10;0;7;0;1;130010;1304;13005
1303106;Nova Olinda do Norte (AM);213;213;171;184;182;111;130;110;69;80;26;39;13;5;1;4;2;3;130001;1301;13001
