"Municipio";"Cod";"Homem_60_64_2010";"Homem_65_69_2010";"Mulher_60_64_2010";"Mulher_65_69_2010";"Homem_70_79_2010";"Mulher_70_79_2010";"Homem_80_mais";"Mulher_80_mais";"cod_rgi";"cod_rgint";"cod_regiao_saude"
"Alta Floresta D'Oeste (RO)";1100015;351;301;311;264;393;296;98;73;110005;1102;11005
"Ariquemes (RO)";1100023;1110;788;1041;735;981;814;331;294;110002;1101;11001
"Cabixi (RO)";1100031;118;99;94;65;112;102;30;26;110006;1102;11006
"Cacoal (RO)";1100049;1081;746;1008;795;997;1038;431;380;110005;1102;11002
"Cerejeiras (RO)";1100056;266;223;301;196;288;231;92;84;110006;1102;11006
"Colorado do Oeste (RO)";1100064;353;255;290;251;333;319;126;113;110006;1102;11006
"Corumbiara (RO)";1100072;117;111;113;87;131;95;43;32;110006;1102;11006
"Costa Marques (RO)";1100080;182;123;137;87;145;87;45;37;110004;1102;11007
"Espigão D'Oeste (RO)";1100098;413;299;384;282;348;330;127;112;110005;1102;11002
"Guajará-Mirim (RO)";1100106;506;353;526;347;460;446;228;216;110001;1101;11004
"Jaru (RO)";1100114;647;516;682;517;719;658;289;224;110003;1101;11003
"Ji-Paraná (RO)";1100122;1498;1037;1481;1098;1310;1381;511;550;110004;1102;11003
"Machadinho D'Oeste (RO)";1100130;473;339;315;225;377;219;84;70;110003;1101;11001
"Nova Brasilândia D'Oeste (RO)";1100148;329;241;284;191;305;206;93;56;110005;1102;11005
"Ouro Preto do Oeste (RO)";1100155;551;390;527;444;517;539;200;199;110004;1102;11003
"Pimenta Bueno (RO)";1100189;436;346;427;340;361;367;162;139;110005;1102;11002
"Porto Velho (RO)";1100205;4628;2978;4411;2877;3018;3544;1228;1469;110001;1101;11004
"Presidente Médici (RO)";1100254;383;303;368;245;387;351;161;148;110004;1102;11003
"Rio Crespo (RO)";1100262;55;41;45;35;61;43;19;12;110002;1101;11001
"Rolim de Moura (RO)";1100288;677;494;662;542;679;620;258;225;110005;1102;11005
"Santa Luzia D'Oeste (RO)";1100296;131;126;117;105;140;132;64;45;110005;1102;11005
"Vilhena (RO)";1100304;893;684;948;677;784;788;224;241;110006;1102;11006
"São Miguel do Guaporé (RO)";1100320;303;242;238;193;268;206;68;36;110004;1102;11003
"Nova Mamoré (RO)";1100338;313;181;195;151;247;138;86;57;110001;1101;11004
"Alvorada D'Oeste (RO)";1100346;264;199;214;187;268;213;98;68;110004;1102;11003
"Alto Alegre dos Parecis (RO)";1100379;193;160;146;122;145;120;41;35;110005;1102;11005
"Alto Paraíso (RO)";1100403;254;203;213;160;233;144;60;43;110002;1101;11001
"Buritis (RO)";1100452;444;325;293;230;330;195;86;64;110002;1101;11001
"Novo Horizonte do Oeste (RO)";1100502;187;142;146;122;178;134;61;30;110005;1102;11005
"Cacaulândia (RO)";1100601;98;80;61;61;104;57;23;15;110002;1101;11001
"Campo Novo de Rondônia (RO)";1100700;193;120;111;69;135;74;33;22;110002;1101;11001
"Candeias do Jamari (RO)";1100809;312;188;227;124;208;125;79;60;110001;1101;11004
"Castanheiras (RO)";1100908;89;67;66;39;71;43;12;23;110005;1102;11005
"Chupinguaia (RO)";1100924;109;69;78;61;82;44;21;9;110006;1102;11006
"Cujubim (RO)";1100940;206;129;138;72;133;67;21;18;110002;1101;11001
"Governador Jorge Teixeira (RO)";1101005;176;140;147;95;149;119;56;42;110003;1101;11003
"Itapuã do Oeste (RO)";1101104;132;121;106;64;98;74;32;23;110001;1101;11004
"Ministro Andreazza (RO)";1101203;147;121;132;110;162;124;50;38;110005;1102;11002
"Mirante da Serra (RO)";1101302;177;130;144;142;241;148;79;58;110004;1102;11003
"Monte Negro (RO)";1101401;227;174;159;144;226;137;57;36;110002;1101;11001
"Nova União (RO)";1101435;109;90;88;79;93;82;41;22;110004;1102;11003
"Parecis (RO)";1101450;77;58;60;27;63;34;14;12;110005;1102;11005
"Pimenteiras do Oeste (RO)";1101468;44;37;25;20;24;18;14;7;110006;1102;11006
"Primavera de Rondônia (RO)";1101476;65;46;47;42;62;43;30;19;110005;1102;11002
"São Felipe D'Oeste (RO)";1101484;115;101;95;71;110;83;32;29;110005;1102;11002
"São Francisco do Guaporé (RO)";1101492;233;149;178;111;169;115;48;34;110004;1102;11007
"Seringueiras (RO)";1101500;144;103;113;98;154;110;40;28;110004;1102;11007
"Teixeirópolis (RO)";1101559;101;58;71;73;89;80;46;27;110004;1102;11003
"Theobroma (RO)";1101609;188;135;139;91;157;129;43;34;110003;1101;11003
"Urupá (RO)";1101708;236;157;202;147;202;138;68;48;110004;1102;11003
"Vale do Anari (RO)";1101757;153;123;114;91;141;89;37;21;110003;1101;11003
"Vale do Paraíso (RO)";1101807;140;90;124;85;131;92;41;35;110004;1102;11003
"Acrelândia (AC)";1200013;186;127;129;91;159;90;45;27;120001;1201;12002
"Assis Brasil (AC)";1200054;71;48;46;48;62;45;27;30;120002;1201;12001
"Brasiléia (AC)";1200104;260;191;255;190;302;200;120;89;120002;1201;12001
"Bujari (AC)";1200138;134;120;94;59;84;50;48;35;120001;1201;12002
"Capixaba (AC)";1200179;136;96;98;64;95;67;35;25;120001;1201;12002
"Cruzeiro do Sul (AC)";1200203;771;625;721;670;704;786;374;387;120004;1202;12003
"Epitaciolândia (AC)";1200252;179;167;159;131;200;150;82;70;120002;1201;12001
"Feijó (AC)";1200302;322;234;284;252;278;218;124;124;120005;1202;12003
"Jordão (AC)";1200328;19;20;30;21;22;28;24;15;120005;1202;12002
"Mâncio Lima (AC)";1200336;157;130;120;116;145;118;55;64;120004;1202;12003
"Manoel Urbano (AC)";1200344;85;51;52;44;87;68;26;35;120003;1201;12002
"Marechal Thaumaturgo (AC)";1200351;101;50;68;68;82;70;27;19;120004;1202;12003
"Plácido de Castro (AC)";1200385;268;177;185;141;240;176;110;59;120001;1201;12002
"Porto Walter (AC)";1200393;55;41;42;39;48;43;27;23;120004;1202;12003
"Rio Branco (AC)";1200401;3385;2409;3754;2818;2840;3334;1426;1654;120001;1201;12002
"Rodrigues Alves (AC)";1200427;137;111;113;77;99;86;41;31;120004;1202;12003
"Santa Rosa do Purus (AC)";1200435;44;18;36;20;15;18;5;8;120003;1201;12002
"Senador Guiomard (AC)";1200450;245;246;233;187;274;209;118;85;120001;1201;12002
"Sena Madureira (AC)";1200500;395;334;388;286;385;345;196;180;120003;1201;12002
"Tarauacá (AC)";1200609;303;241;312;262;348;261;159;138;120005;1202;12003
"Xapuri (AC)";1200708;234;159;215;140;209;183;103;90;120002;1201;12001
"Porto Acre (AC)";1200807;226;162;173;140;223;147;84;48;120001;1201;12002
"Alvarães (AM)";1300029;113;93;109;81;123;80;39;39;130005;1302;13008
"Amaturá (AM)";1300060;88;73;64;66;69;60;33;31;130006;1302;13009
"Anamã (AM)";1300086;95;95;70;65;109;91;39;30;130004;1301;13002
"Anori (AM)";1300102;129;137;123;126;164;142;74;61;130003;1301;13002
"Apuí (AM)";1300144;270;168;123;110;144;86;42;22;130009;1303;13003
"Atalaia do Norte (AM)";1300201;122;97;71;74;120;77;37;35;130006;1302;13009
"Autazes (AM)";1300300;374;310;307;265;380;292;179;168;130001;1301;13001
"Barcelos (AM)";1300409;252;309;258;193;230;165;52;52;130002;1301;13001
"Barreirinha (AM)";1300508;255;224;227;217;286;267;146;197;130010;1304;13005
"Benjamin Constant (AM)";1300607;290;269;258;208;291;314;156;123;130006;1302;13009
"Beruri (AM)";1300631;151;129;111;99;186;92;63;68;130003;1301;13002
"Boa Vista do Ramos (AM)";1300680;147;110;88;104;140;109;76;69;130010;1304;13005
"Boca do Acre (AM)";1300706;324;314;345;259;352;304;151;146;130008;1303;13006
"Borba (AM)";1300805;333;274;269;226;366;285;210;242;130001;1301;13003
"Caapiranga (AM)";1300839;131;104;87;56;103;77;32;33;130004;1301;13002
"Canutama (AM)";1300904;156;141;109;111;141;94;44;28;130008;1303;13006
"Carauari (AM)";1301001;223;217;204;177;218;205;87;101;130005;1302;13007
"Careiro (AM)";1301100;367;335;298;232;334;295;138;86;130001;1301;13001
"Careiro da Várzea (AM)";1301159;352;308;266;239;329;248;112;105;130001;1301;13001
"Coari (AM)";1301209;672;530;553;493;640;582;274;253;130003;1301;13002
"Codajás (AM)";1301308;235;199;148;163;197;180;96;88;130003;1301;13002
"Eirunepé (AM)";1301407;251;243;272;234;233;256;130;92;130007;1302;13007
"Envira (AM)";1301506;96;93;111;101;159;122;64;48;130007;1302;13007
"Fonte Boa (AM)";1301605;212;169;184;159;218;174;100;90;130005;1302;13009
"Guajará (AM)";1301654;122;93;91;82;93;89;48;40;130007;1302;13007
"Humaitá (AM)";1301704;530;403;368;359;456;369;153;167;130009;1303;13003
"Ipixuna (AM)";1301803;197;148;137;118;142;133;64;42;130007;1302;13007
"Iranduba (AM)";1301852;502;427;436;306;486;420;166;165;130001;1301;13001
"Itacoatiara (AM)";1301902;1015;806;945;729;1034;910;434;456;130011;1304;13004
"Itamarati (AM)";1301951;75;56;66;46;47;27;20;16;130007;1302;13007
"Itapiranga (AM)";1302009;120;98;84;67;98;84;42;41;130011;1304;13004
"Japurá (AM)";1302108;33;39;36;25;40;43;29;18;130005;1302;13008
"Juruá (AM)";1302207;69;81;66;75;81;67;35;31;130005;1302;13008
"Jutaí (AM)";1302306;172;132;119;108;147;129;51;45;130005;1302;13009
"Lábrea (AM)";1302405;373;355;336;267;329;361;133;151;130008;1303;13006
"Manacapuru (AM)";1302504;870;824;809;678;1002;866;384;404;130004;1301;13002
"Manaquiri (AM)";1302553;273;267;226;153;255;182;89;78;130001;1301;13001
"Manaus (AM)";1302603;17532;11484;20521;14158;12858;17737;5006;8785;130001;1301;13001
"Manicoré (AM)";1302702;539;432;404;345;481;395;191;221;130009;1303;13003
"Maraã (AM)";1302801;137;109;93;82;99;81;43;36;130005;1302;13008
"Maués (AM)";1302900;501;356;398;367;598;527;296;318;130010;1304;13005
"Nhamundá (AM)";1303007;191;194;185;174;247;200;106;101;130010;1304;13005
