"Cod";"Municipio";"Homem_60_69_2022";"Mulher_60_69_2022";"Homem_70_79_2022";"Mulher_70_79_2022";"Homem_80_mais_2022";"Mulher_80_mais_2022";"cod_rgi";"cod_rgint";"cod_regiao_saude"
1100015;"Alta Floresta D'Oeste (RO)";984;871;459;412;200;199;110005;1102;11005
1100023;"Ariquemes (RO)";3302;3347;1557;1647;656;652;110002;1101;11001
1100031;"Cabixi (RO)";310;292;154;127;76;70;110006;1102;11006
1100049;"Cacoal (RO)";3294;3581;1586;1672;662;788;110005;1102;11002
1100056;"Cerejeiras (RO)";622;672;380;358;148;154;110006;1102;11006
1100064;"Colorado do Oeste (RO)";762;722;408;416;185;196;110006;1102;11006
1100072;"Corumbiara (RO)";382;290;165;141;63;48;110006;1102;11006
1100080;"Costa Marques (RO)";414;382;223;165;80;66;110004;1102;11007
1100098;"Espigão D'Oeste (RO)";1148;1121;558;572;239;258;110005;1102;11002
1100106;"Guajará-Mirim (RO)";1199;1253;605;664;260;265;110001;1101;11004
1100114;"Jaru (RO)";1868;1905;990;1071;477;467;110003;1101;11003
1100122;"Ji-Paraná (RO)";4446;4906;2079;2338;898;1051;110004;1102;11003
1100130;"Machadinho D'Oeste (RO)";1280;1084;632;438;199;145;110003;1101;11001
1100148;"Nova Brasilândia D'Oeste (RO)";712;674;371;343;158;137;110005;1102;11005
1100155;"Ouro Preto do Oeste (RO)";1498;1567;793;829;351;415;110004;1102;11003
1100189;"Pimenta Bueno (RO)";1394;1402;640;618;245;258;110005;1102;11002
1100205;"Porto Velho (RO)";15040;16013;6053;6755;2083;2928;110001;1101;11004
1100254;"Presidente Médici (RO)";1023;1006;517;482;229;239;110004;1102;11003
1100262;"Rio Crespo (RO)";168;126;84;60;25;23;110002;1101;11001
1100288;"Rolim de Moura (RO)";2147;2228;1040;1126;463;434;110005;1102;11005
1100296;"Santa Luzia D'Oeste (RO)";379;340;194;206;88;92;110005;1102;11005
1100304;"Vilhena (RO)";3183;3392;1372;1671;595;608;110006;1102;11006
1100320;"São Miguel do Guaporé (RO)";846;758;401;365;173;130;110004;1102;11003
1100338;"Nova Mamoré (RO)";871;749;403;296;130;115;110001;1101;11004
1100346;"Alvorada D'Oeste (RO)";645;637;335;305;151;134;110004;1102;11003
1100379;"Alto Alegre dos Parecis (RO)";499;413;253;211;88;85;110005;1102;11005
1100403;"Alto Paraíso (RO)";674;579;343;298;156;110;110002;1101;11001
1100452;"Buritis (RO)";1061;983;528;403;202;128;110002;1101;11001
1100502;"Novo Horizonte do Oeste (RO)";427;349;196;176;88;83;110005;1102;11005
1100601;"Cacaulândia (RO)";180;170;108;91;44;37;110002;1101;11001
1100700;"Campo Novo de Rondônia (RO)";397;278;187;137;55;40;110002;1101;11001
1100809;"Candeias do Jamari (RO)";878;743;404;319;134;101;110001;1101;11004
1100908;"Castanheiras (RO)";167;131;92;87;51;35;110005;1102;11005
1100924;"Chupinguaia (RO)";333;239;118;101;54;42;110006;1102;11006
1100940;"Cujubim (RO)";529;390;211;170;80;54;110002;1101;11001
1101005;"Governador Jorge Teixeira (RO)";352;328;208;177;90;66;110003;1101;11003
1101104;"Itapuã do Oeste (RO)";367;294;156;129;57;44;110001;1101;11004
1101203;"Ministro Andreazza (RO)";307;285;176;172;89;79;110005;1102;11002
1101302;"Mirante da Serra (RO)";443;443;204;213;111;88;110004;1102;11003
1101401;"Monte Negro (RO)";504;491;297;235;130;87;110002;1101;11001
1101435;"Nova União (RO)";301;248;140;142;67;54;110004;1102;11003
1101450;"Parecis (RO)";170;134;89;70;36;25;110005;1102;11005
