REGIAO;IMM2019;IMM2018;IMM2017;IMM2016;IMM2015;IMM2014;IMM2013;IMM2012;IMM2011;IMM2010;IMM2009;IMM2008;IMM2007;IMM2006;TUEF2021;TUEF2020;TUEF2019;TUEF2018;TUEF2017;TUEF2016;TUEF2015;TUEF2014;TUEF2013;TUEF2012;TUEF2011;TUEF2010;TUEB2021;TUEB2020;TUEB2019;TUEB2018;TUEB2017;TUEB2016;TUEB2015;TUEB2014;TUEB2013;TUEB2012;TUEB2011;TUEB2010;POPRUA2021;POPRUA2019;POPRUA2015;POPRUA2011;POPRUA2009;POPRUA2000;BF2020;BF2019;BF2018;BF2017;BF2016;BF2015;BF2014;BF2013;FV2021;FV2020;FV2019;FV2018;FV2017;FV2016;FV2015;FV2014;FV2013;FV2012;FV2011;FV2010;AGUA2010;AGUA2000;ESGOTO2010;ESGOTO2000;EXTPOB2020;EXTPOB2019;EXTPOB2018;EXTPOB2017;EXTPOB2016;EXTPOB2015;EXTPOB2014;EXTPOB2013
Alto De Pinheiros;81,48;79,85;80,03;78,1;80,17;78,45;79,48;78,96;77,1;77,41;75,6;77,75;76,58;74,92;181,87;187,66;187,75;185,79;176,46;182,3;178,17;168,74;161,94;160,43;160,74;159,58;171,1;161,41;163,22;161,91;163,92;169,1;180,77;171,59;161,3;154,65;147,21;160,25;3;4;12;0;9;16;78;59;66;70;64;245;49;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,32;112;136;102;90;86;89;117;99
Anhanguera;60,43;59,73;57,22;56,65;54,85;52,91;56,11;54,84;53,49;53,19;51,28;51,12;53,56;53,83;92,82;96,29;96,85;96,07;90,36;92,78;91,28;93,94;91,16;93,24;92,28;90,24;84,25;78,82;79,13;78,63;81,43;76,02;80,07;83,39;81,97;84,25;82,81;86,48;0;0;0;0;0;1;4.300;4.459;4.915;3.809;4.531;6.794;1.828;1.069;3,78;3,88;4,02;4,16;4,3;4,45;4,6;4,81;5,03;5,25;5,19;5,71;2,37;12,94;12,44;48,84;5.136;6.130;6.182;5.911;5.014;4.559;2.479;1.606
Aricanduva;71,1;70,72;69,79;70,16;69,38;69,63;68,27;67,09;68,03;67,87;65,87;65,82;63,78;65,29;131,08;132,96;132,24;126,73;118,51;119,99;122,71;125,03;124,88;121,36;118,77;115,25;122,72;112,19;109,88;106,48;112,46;109,83;117,69;126,5;121,54;118,55;110,5;118,1;293;164;15;0;10;22;2.467;2.478;2.506;2.044;2.400;5.173;1.811;1.594;1,06;1,07;1,07;1,07;1,08;1,08;1,09;1,09;1,09;1,09;1,1;1,1;0,16;0,08;2,14;6,72;3.087;3.574;3.226;3.080;2.949;2.675;3.188;2.588
Artur Alvim;70,31;69,25;67,85;67,2;66,53;67,14;66,56;65,85;66,33;65,93;63,35;63,76;64,32;62,28;129,18;130,14;126,89;124,95;118,05;121,89;122,9;125,15;124,64;124,99;123,72;119,05;130,31;117,43;113,32;115,74;122,89;104,13;111,67;114,36;114,17;112,51;119,19;112,3;139;55;18;0;9;7;2.784;3.104;3.231;2.960;3.384;7.521;2.955;2.238;7,32;7,34;7,36;7,39;7,41;6,33;7,46;7,49;7,5;7,53;7,55;7,58;0,05;0,18;4,33;9,55;3.556;4.288;4.224;4.538;4.144;4.256;4.889;3.734
Barra Funda;74,17;74,11;74,95;74,53;71,71;77,49;75,16;72,7;71,57;73,47;72,73;72,05;70,78;68,4;218,75;226,39;190,57;155,57;159,47;166,99;175,97;176,66;172,94;179,24;181,71;182,92;204,36;585,51;166,09;133,67;119,28;136,11;150,44;145,8;138,08;136,56;118,66;134,58;201;124;998;0;88;101;143;125;112;163;296;714;204;168;1,06;1,08;1,09;1,11;1,13;1,14;2,02;1,17;1,19;1,21;1,23;1,24;2,56;0;4,52;4,49;207;244;160;219;348;326;393;331
Bela Vista;72,15;73,07;73,73;74,52;74,21;72,26;73,65;71,25;74,49;72,08;72,28;72,14;70,7;71,22;41,46;48,3;52,15;55,85;56,1;60,97;65,71;67,65;68,54;69;68,56;70,71;55,03;55,08;56,97;60,89;67,37;72,89;83,13;91,63;85,5;85,12;74,74;95,3;476;411;909;675;263;152;1.387;2.422;2.906;2.449;1.184;2.460;552;609;0;0;0;0;0;0;0;0;0;0;0;0;0,77;0,09;0;0,24;2.148;2.508;4.058;4.347;1.440;1.345;1.059;1.090
Belém;70,61;70,27;72,35;71,97;69,61;71;72,25;69,38;69,83;71,14;69,58;67,87;67,55;70,36;123,38;127,37;129,85;140,78;144,6;153,72;157,82;150,69;148,47;149,88;142,1;139,78;114,19;103,81;109,64;116,8;134,02;141,56;155,26;150,63;148,98;150,06;131,53;144,16;758;755;269;64;171;80;4.400;6.013;6.165;4.211;2.734;2.194;626;509;3,75;3,78;3,81;3,85;3,88;3,92;3,95;4;4,05;4,09;4,14;4,19;0,29;0,05;1,05;4,43;7.136;7.022;7.903;6.586;3.288;1.346;992;824
Bom Retiro;68,88;68,43;68,94;68,79;69,82;67,11;68,89;67,7;68,46;66,71;67,74;66,26;67,23;63,5;80,19;86,68;87,35;81,09;86,08;89,85;90,32;88,74;85,17;90,97;95,74;103,57;91,51;86,78;87,07;83,15;96;90,28;97,7;100;100,18;107,28;99,8;118,97;1.251;1.334;742;343;455;157;1.961;2.201;2.283;2.261;1.767;2.596;745;677;2,86;2,9;2,95;3;3,05;0;0;0;0;0;0;0;4,09;0,49;5,7;2,73;2.999;3.226;3.059;3.792;2.033;1.625;1.032;989
Brasilândia;61,02;60,21;61,04;61,16;58,87;59,35;58,12;58,27;58,24;58,05;57,11;56,43;56,2;54,89;83,69;85,39;86,92;87,62;84,38;87,99;88,72;92,49;96,27;95,67;93,1;90,07;81,84;73,6;74,15;74,98;83,59;77,91;83,94;86,81;88,08;87,37;86,32;90,24;64;65;19;0;8;5;13.127;14.441;15.597;12.420;16.724;34.338;13.176;12.058;25,06;25,41;25,79;26,17;26,56;22,25;27,36;27,9;24,76;25,77;24,02;23,74;1,33;1,38;12,4;13,29;14.434;19.169;19.584;20.161;21.228;21.270;21.372;18.030
Brás;61,37;65,65;66,47;67,05;63,18;61,19;65,01;61,75;64,46;63,53;61,6;63,19;63,26;60,48;88,92;96,71;99,76;104,6;94,03;99,84;104,36;103,18;108,06;113,17;116,27;121,97;95,41;84,97;85,59;93,7;96,83;95,38;107,31;106,28;110,05;112,73;114,59;124,82;1.206;889;733;2.328;810;971;1.180;1.290;1.403;988;1.349;2.072;404;604;0,18;0,18;0;0;0;0;0;0;0;0;0;0;0;1,59;0,24;0,51;1.611;1.779;1.871;1.653;1.632;1.414;737;871
Butantã;77,05;74,45;77,61;78,07;75,2;76,47;74,5;73,88;74,62;73,62;73,48;72,92;73,25;71,43;245,81;250,85;251,35;252,36;244,99;254,7;259,51;264,04;262,79;259,54;252,95;248,04;214,12;206,99;202,1;202,04;216,2;135,1;145,22;147,59;147,62;150,2;211,09;166,95;71;29;36;0;21;10;450;481;403;476;837;2.278;498;558;1,31;1,31;1,32;1,33;1,33;1,11;1,35;1,36;1,37;1,38;1,39;1,4;0,3;0;0,89;2,17;634;847;557;698;1.056;954;1.123;1.068
Cachoeirinha;64,3;63,41;63,87;63,65;61,82;61,5;62,05;61,71;62,63;62,1;60,23;60,11;59,31;56,88;96,97;98,23;98,32;97,51;92,79;94,93;96,46;97,76;98,01;95,85;95,23;93,14;90,72;81,31;80,92;84,97;88,52;87,47;91,25;94,25;94,12;91,57;90,92;92,35;126;72;10;0;13;1;4.268;4.688;4.813;4.330;4.881;11.896;4.403;4.389;20,02;20,24;20,46;20,68;20,9;18,61;21,36;21,02;21,24;20,04;20,19;20,99;0,74;0,26;8,93;15,85;4.064;6.714;6.175;6.646;6.538;6.700;7.916;6.862
Cambuci;74,17;71,64;73,73;75,13;72,64;73,29;74,1;71,78;73,18;74,2;72,46;71;69,93;71,1;110,51;115,97;118,3;103,42;116,19;116,32;117,78;122,85;120,94;118,98;122,54;123,38;99,55;94,75;94,79;85,62;102,43;77,18;83,38;84,22;84,47;84,34;108,78;68,21;598;250;112;77;53;74;806;744;801;534;723;1.329;383;304;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0,65;0,3;1.090;1.240;1.074;878;849;783;661;509
Campo Belo;78,69;76,43;76,72;77,62;75,64;77,07;76,51;75,14;74,67;74,4;74,61;73,05;73,19;71,79;96,23;99,76;103,01;104,3;99,01;104,13;102,86;106,59;106,97;108,43;104,64;105,51;87,16;82,69;82,61;81,15;84,24;81,91;87,55;88,78;89,18;90,6;86,72;95,98;303;132;69;0;70;65;674;695;717;577;744;1.712;587;534;9,14;9,13;9,13;9,14;9,14;6,43;9,15;10,32;10,32;10,34;7,11;7,13;0;0,73;1,6;5,19;890;1.080;936;870;925;972;1.032;885
Campo Grande;71,64;72,5;71,64;72,46;70,68;69,64;70,25;68,22;68,91;68,47;69,32;67,32;65,87;64,84;111,99;117,17;113,44;115,73;113,78;117,01;118,34;119,95;119,48;120,63;122,96;124,31;106,89;102,51;102,31;103,91;112,26;111,46;119,55;126,53;122,58;124,7;118,78;118,76;234;195;3;0;15;10;1.201;1.266;1.183;825;1.036;2.734;857;785;3,73;3,77;3,81;3,86;3,91;3,82;3,95;3,76;3,82;3,88;4,05;4,13;0,38;0,04;4,85;5,96;1.606;1.901;1.616;1.215;1.335;1.322;1.622;1.384
Campo Limpo;62,86;63,81;62,21;60,76;61,4;58,67;59,08;59,14;58,29;58,62;59,94;58,13;56,57;57,35;110,74;113,34;113,16;109,29;104,32;106,62;108,87;111,23;111,44;111,66;109,71;109,43;105,88;98,06;98,27;99,33;106,53;97,84;101,65;105,54;101,64;101,52;104,8;110,72;82;59;23;0;15;1;8.106;9.249;9.768;8.448;8.152;21.745;6.788;7.384;21,74;22,06;22,44;22,83;23,23;22,12;24,1;22,94;23,39;23,87;23,41;23,87;0,6;0,41;10,64;15,49;9.351;12.376;13.181;12.719;11.513;10.076;12.913;12.263
Cangaíba;67,58;67,57;67,5;66,12;66,6;64,37;64,83;64,3;64,6;63,21;62,74;63,93;62,35;62,85;106,34;109,38;109,83;109,42;104,25;108,18;108,48;108,93;107,65;107,39;105,11;102,19;102,07;93,21;93,64;95,06;102,26;103,08;108,25;111,19;109,84;109,57;101,7;109,86;10;23;0;0;1;2;4.487;4.414;4.532;4.149;5.755;12.241;4.829;3.385;10,77;10,85;10,95;11,05;11,15;10,79;10,31;10,41;10,15;10,24;10,43;10,53;0,3;0,27;9,08;7,72;5.269;6.636;6.050;6.591;7.533;7.563;7.917;5.737
Capão Redondo;62,2;60,78;61,46;60,09;58,97;58,3;59,08;56,92;57,85;56,64;57,76;55,77;55,65;53,03;111,76;114,48;116,57;119,48;116,36;119,8;121,91;123,87;124,3;123,67;121,62;116,22;104,94;96,57;98,2;100,78;109,79;104,66;113,74;115,65;117,37;115,54;111,74;108,26;152;70;14;0;2;5;11.055;12.712;14.262;12.578;15.632;35.594;13.134;11.713;21,11;21,46;21,88;22,3;23,79;27,65;23,4;23,44;23,4;23,89;26,16;26,75;0,25;0,7;12,49;20,19;11.608;16.539;18.969;18.315;20.656;20.099;21.914;18.223
Carrão;74,92;73,98;74,1;73,93;73,4;72,13;72,96;72,79;71,66;71,85;71,28;71,72;70,81;68,55;99,88;102,78;104,01;104,15;102,6;106,8;107,35;108,93;108,5;107,89;111,77;112,84;92,97;86,94;87,85;87,29;93,77;96,43;103,36;105,38;103,73;101,21;96,18;108,43;75;98;24;0;46;44;1.011;1.073;1.022;837;919;2.051;560;595;2,51;2,53;2,54;2,56;2,58;2,6;2,62;2,46;2,48;2,51;2,5;2,54;0;0;1,05;2,33;1.310;1.523;1.318;1.219;1.132;1.007;1.414;1.259
Casa Verde;71,49;72,1;71,41;70,82;71,67;70,95;68,59;69,7;69,72;69,11;67,91;68,62;66,57;66,04;93,66;97,33;102;104,69;101,56;106,29;109,26;113,02;114,77;115,92;116,03;117,1;101,56;93,09;94,97;99,93;107,09;110,27;118,91;121,98;123,89;126,15;122,76;129,23;276;240;179;0;19;9;1.867;2.260;2.343;2.000;1.910;3.532;1.175;974;0,12;0,12;0,12;0,12;0,12;0,12;0,13;0,12;0,12;0,12;0,12;0,12;0;0;1,35;0,95;2.366;2.960;3.094;3.054;2.231;2.006;2.046;1.701
Cidade Ademar;65,86;64,94;64,4;63,62;63,71;63,26;63,15;61,82;63,13;61,26;60,01;59;58,88;58,68;80,53;85,21;86,69;86,83;84,09;87,87;90,65;93,4;94,73;93,72;93,97;90,1;78,78;73,97;75,05;77,14;84,08;79,24;85,28;86,32;85,01;84,78;84,71;84,79;154;136;71;0;2;19;14.491;16.023;16.348;13.839;14.926;29.745;9.405;6.721;16,21;16,42;16,66;16,91;17,16;22,38;18,97;18,68;19,02;19,36;16,87;16,29;0,19;0,71;11,99;17,13;18.522;21.434;21.577;21.333;18.155;15.961;16.006;11.807
Cidade Dutra;65,77;65,64;65,67;65,54;63,61;65,36;63,35;62,29;61,96;62,28;60,07;60,85;58,84;57,37;115,42;119,24;121,73;118,2;113,74;115,23;116,24;115,82;116,3;115,58;112,99;112,68;112,89;105,5;107,95;107,18;116,87;114,93;121,4;124,65;123,77;123,77;119,74;125,59;166;104;79;0;187;6;6.358;7.222;7.729;7.040;8.120;19.795;6.090;5.804;8,69;8,79;8,88;9;9,12;9,24;9,14;9,26;9,38;12,01;11,27;11,44;0,16;0,71;6,16;10,89;7.635;10.608;11.126;10.399;10.498;10.332;12.569;10.886
Cidade Líder;64,96;65,23;64,78;64,15;63,44;63,88;62,92;61,59;62,3;61,32;60,59;60,4;61,02;58,93;83,15;84,22;83,74;83,09;79,64;82,89;83,48;86,5;86,96;87,64;85,6;83,89;77,85;71,72;72,14;71,97;78,62;75,93;80,39;88,07;87,58;87,07;81,25;89,43;20;25;7;0;8;0;5.035;5.252;5.835;4.513;5.081;9.587;3.504;2.796;6,58;6,66;6,76;6,87;6,97;13,85;7,17;7,3;7,43;7,55;8,83;8,99;0,16;0,59;10,27;14,62;5.786;7.398;7.448;7.405;6.261;5.997;6.210;4.711
Cidade Tiradentes;58,87;57,39;56,89;57,71;54,31;54,05;55,32;53,6;54,57;52,45;52,18;52,14;51,54;51,65;103,1;103,29;99,52;101,91;96,18;97,31;97,63;98,33;101,25;103,52;101,48;98,45;96,72;87,38;84,58;87,12;93,81;90,94;95,03;96,21;99,03;98,95;96,19;102,1;134;176;24;0;4;2;12.574;13.179;13.978;10.490;13.988;26.832;9.799;9.096;4,09;4,18;4,27;4,37;4,47;3,65;4,56;4,74;4,86;5,45;5,45;5,59;0,55;0,9;7,49;13,11;15.173;18.353;17.662;17.726;18.400;17.694;15.322;13.266
Consolação;79,51;79,51;79,83;79,17;77,22;76,44;79,67;78,24;78,33;77,67;76,65;75,98;75;76,63;153,62;167,61;214,1;221,35;219,92;231,25;237,23;232,35;230,6;220,42;220,73;233,21;168,56;165,33;211,07;218,63;241,19;219,98;243,19;233,04;231,93;219,09;220,34;240,49;286;260;165;159;175;167;173;165;174;93;155;313;73;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0,19;0;0,3;226;306;255;148;184;119;116;96
Cursino;73,67;73,02;73,92;72,37;72,98;70,82;70,29;71,31;70,42;70,37;68,98;69,4;69,34;67,67;77,47;77,2;82,35;84,69;82,42;86,11;90,24;94,32;94,72;98,77;98,91;99,99;74,69;67,54;71,69;74,33;83,07;80,61;88,44;92,05;91,67;95,72;96,17;97,24;43;10;2;0;12;24;1.668;1.832;1.889;1.463;2.097;4.256;1.402;839;6,36;6,41;6,47;6,53;6,59;6,52;6,72;6,8;6,88;7,77;6,61;6,69;0;0,21;2,17;2,11;2.095;2.598;2.451;2.345;2.535;2.249;2.282;1.490
Ermelino Matarazzo;65,27;65,61;63,5;63,95;64,37;64,8;62,15;61,64;62,53;62,36;62,79;61,68;60,09;59,02;106,6;109,06;109,98;108,27;104,31;105,7;105,79;109,5;109,76;107,89;108,61;106,86;101,56;93,69;95,03;95,66;103,36;94,78;100,28;102,68;102,77;100,49;106,99;101,41;237;212;148;0;90;15;5.754;6.573;6.851;5.285;6.072;11.457;4.634;3.722;8,59;8,69;8,8;8,92;9,03;8,58;8,18;8,31;8,55;8,68;8,85;9,28;0,03;0,24;7,77;16,32;6.469;8.113;8.703;8.807;7.314;7.159;7.421;5.856
Freguesia Do Ó;70,43;69,86;70,42;67,95;69,23;69,18;69,2;67,87;67,1;65,35;67,05;65,64;66,1;64,9;145,95;150,71;152,87;154,29;151;152,75;156,22;153,87;153,67;153,14;155,13;152,88;140,82;129,87;130,38;132,27;144,31;154,12;165,63;166,59;163,25;159,21;149,19;163,28;101;52;80;0;16;19;2.966;3.470;3.605;3.318;3.983;7.119;3.069;2.197;4,01;4,03;4,05;4,07;4,09;4;4,13;4,14;3,4;3,4;3,8;3,82;0;0,07;1,58;1,85;3.629;4.654;4.685;5.461;4.653;4.738;4.923;3.633
Grajaú;59,92;58,97;57,68;58,54;56,45;56,18;56,17;55,46;55,14;55,8;53,42;54,16;52,01;49,97;109,09;111,46;111,8;110,24;105,63;108,56;109,83;111,23;112,62;111,73;111,02;107,14;102,89;93,26;93,36;94,64;102,6;96,76;100,55;101,52;101,29;99,4;99,93;100,5;157;89;49;0;0;5;21.639;24.220;26.101;19.113;21.659;44.284;15.370;13.522;13,52;13,75;14,01;14,28;14,55;15,25;15,12;15,44;15,76;18,04;18,64;18,98;2,64;5,56;27,46;61;23.212;32.250;34.430;29.605;26.441;25.369;27.404;23.445
Guaianases;60,96;62,77;61,16;59,28;59,14;59,77;59,05;57,22;59,05;57,42;55,97;59,22;55,81;55,98;97,7;100,34;100,81;99,3;93,23;97,02;97,27;96,13;96,1;97,35;93,98;91,46;92,59;84,79;85,24;86,38;93,4;89,68;93,19;93,82;119,94;92,35;92,18;92,94;199;187;29;0;5;5;5.255;5.763;6.212;4.991;6.095;12.881;4.472;3.565;2,92;2,97;3,01;3,06;3,11;3,16;3,06;2,49;2,34;2,38;5,68;5,77;1,51;0,75;13,11;19,61;5.262;7.702;7.943;7.764;7.900;7.331;7.736;5.993
Iguatemi;59,72;59,33;58,5;58,79;57,49;53,11;55,64;54,17;57,29;54,99;54,52;55,76;53,24;52,54;112,57;114,86;116,88;110,04;106,57;106,32;107,98;110,49;110,47;111,45;110,02;109,73;107,65;97,65;99,94;98,54;110,69;107,01;46,43;45,35;96,46;41,08;36,78;110,12;1;58;0;0;0;4;9.156;10.596;11.908;9.028;12.128;18.073;7.031;5.189;7,14;7,29;7,48;7,67;7,87;9,58;8,29;8,52;8,77;7,34;8,63;8,88;2,04;3,83;14,21;29,52;10.046;12.949;15.145;15.796;13.993;12.809;10.261;7.653
Ipiranga;74,85;73,4;74,62;72,86;72,13;74,84;72,61;72,82;71,09;70,64;70,4;69,94;70,27;71;109,96;110,07;117,85;116,23;118,69;125,59;129,24;132,47;134,8;135,4;136,25;134,43;117,48;108,83;113;113,33;127,13;113,6;196;203,08;139,58;203,2;208,88;131,54;451;163;92;0;314;63;1.667;1.924;2.032;2.190;2.398;5.431;1.850;1.414;3,25;3,28;3,31;3,34;3,38;3,41;3,45;3,49;3,53;3,57;1,46;1,64;0,23;0,11;1,82;4,76;2.121;2.655;2.708;3.210;3.113;2.833;2.801;2.179
Itaim Bibi;78,39;79,01;79,9;78,99;78,25;79,64;78,95;76,91;76,04;77,2;78,45;76,85;76,83;75,23;70,77;75,84;83,95;91,41;95,61;103,8;109,58;115,19;121,53;128,18;135;143,14;69,6;67,29;74,62;79,26;87,02;97,11;189,48;198,19;154,85;212,69;241,27;147,09;57;59;50;0;25;109;239;340;342;207;232;631;161;138;0,75;0,75;0,76;0,76;0,77;0,77;0,78;0,69;0,7;0,71;0,72;0,73;0,12;0;0,16;0,3;333;432;469;257;288;278;373;310
Itaim Paulista;62,85;61,26;61,82;62,15;59,27;59,51;59,82;59,95;58,15;57,85;58,01;55,11;55,84;55,4;114,36;116,74;117,46;115,59;110,58;113,96;116,26;118,21;119,19;117,61;114,39;110,88;108,36;99,66;99,89;99,7;106,56;100,29;34,11;34,18;90,45;33,42;22,11;107,38;149;75;47;0;17;12;13.326;14.693;15.388;12.574;15.768;26.830;10.402;8.025;6,11;6,36;6,46;6,4;6,67;6,31;6,87;6,98;7,1;7,45;8,18;8,32;0,39;0,57;8,6;12,52;14.912;19.022;19.709;20.068;18.856;17.046;16.457;12.746
