Distrito;IMM2019;IMM2018;IMM2017;IMM2016;IMM2015;IMM2014;IMM2013;IMM2012;IMM2011;IMM2010;IMM2009;IMM2008;IMM2007;IMM2006;TUEF2021;TUEF2020;TUEF2019;TUEF2018;TUEF2017;TUEF2016;TUEF2015;TUEF2014;TUEF2013;TUEF2012;TUEF2011;TUEF2010;TUEB2021;TUEB2020;TUEB2019;TUEB2018;TUEB2017;TUEB2016;TUEB2015;TUEB2014;TUEB2013;TUEB2012;TUEB2011;TUEB2010;POPRUA2021;POPRUA2019;POPRUA2015;POPRUA2011;POPRUA2009;POPRUA2000;BF2020;BF2019;BF2018;BF2017;BF2016;BF2015;BF2014;BF2013;FV2021;FV2020;FV2019;FV2018;FV2017;FV2016;FV2015;FV2014;FV2013;FV2012;FV2011;FV2010;AGUA2010;AGUA2000;ESGOTO2010;ESGOTO2000;EXTPOB2020;EXTPOB2019;EXTPOB2018;EXTPOB2017;EXTPOB2016;EXTPOB2015;EXTPOB2014;EXTPOB2013;V2007;V2008;V2009;V2010;V2011;V2012;V2013;V2014;V2015;V2016;V2017;V2018;V2019;V2020;V2021;V2022;C2007;C2008;C2009;C2010;C2011;C2012;C2013;C2014;C2015;C2016;C2017;C2018;C2019;C2020;C2021;C2022
Agua Rasa;76,02;73,72;74,77;73,36;74,03;73;73,33;72,53;72,66;72,04;70,98;72,57;71,25;70,17;128,89;101,52;102,9;102,95;100,62;102,21;103,28;102,78;105,11;105,57;108,76;109,24;135,54;99,16;100,87;102,9;112,58;109,15;119,54;119,07;118,44;114,92;121,28;116,61;379;385;7;45;6;18;1094;1177;1280;927;1052;2281;650;617;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0,07;0,17;0,46;1,05;1500;1688;1702;1537;1257;1104;1239;994;344;330;303;321;287;281;254;257;327;327;265;268;308;282;248;256;655;641;689;756;672;723;749;778;716;738;714;693;645;621;502;498
Alto De Pinheiros;81,48;79,85;80,03;78,1;80,17;78,45;79,48;78,96;77,1;77,41;75,6;77,75;76,58;74,92;181,87;187,66;187,75;185,79;176,46;182,3;178,17;168,74;161,94;160,43;160,74;159,58;171,1;161,41;163,22;161,91;163,92;169,1;180,77;171,59;161,3;154,65;147,21;160,25;3;4;12;0;9;16;78;59;66;70;64;245;49;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0,32;112;136;102;90;86;89;117;99;91;82;91;94;93;101;93;96;106;100;87;93;141;111;107;87;253;241;275;269;251;212;236;215;191;175;189;182;159;166;141;100
Anhanguera;60,43;59,73;57,22;56,65;54,85;52,91;56,11;54,84;53,49;53,19;51,28;51,12;53,56;53,83;92,82;96,29;96,85;96,07;90,36;92,78;91,28;93,94;91,16;93,24;92,28;90,24;84,25;78,82;79,13;78,63;81,43;76,02;80,07;83,39;81,97;84,25;82,81;86,48;0;0;0;0;0;1;4300;4459;4915;3809;4531;6794;1828;1069;3,78;3,88;4,02;4,16;4,3;4,45;4,6;4,81;5,03;5,25;5,19;5,71;2,37;12,94;12,44;48,84;5136;6130;6182;5911;5014;4559;2479;1606;451;403;425;477;489;503;510;514;567;492;554;554;559;441;483;385;473;545;558;553;576;558;587;576;602;528;545;525;497;483;431;400
Aricanduva;71,1;70,72;69,79;70,16;69,38;69,63;68,27;67,09;68,03;67,87;65,87;65,82;63,78;65,29;131,08;132,96;132,24;126,73;118,51;119,99;122,71;125,03;124,88;121,36;118,77;115,25;122,72;112,19;109,88;106,48;112,46;109,83;117,69;126,5;121,54;118,55;110,5;118,1;293;164;15;0;10;22;2467;2478;2506;2044;2400;5173;1811;1594;1,06;1,07;1,07;1,07;1,08;1,08;1,09;1,09;1,09;1,09;1,1;1,1;0,16;0,08;2,14;6,72;3087;3574;3226;3080;2949;2675;3188;2588;490;507;477;487;485;500;464;476;501;479;419;487;455;423;421;354;687;695;738;696;670;750;692;691;723;678;676;690;612;639;534;472
Artur Alvim;70,31;69,25;67,85;67,2;66,53;67,14;66,56;65,85;66,33;65,93;63,35;63,76;64,32;62,28;129,18;130,14;126,89;124,95;118,05;121,89;122,9;125,15;124,64;124,99;123,72;119,05;130,31;117,43;113,32;115,74;122,89;104,13;111,67;114,36;114,17;112,51;119,19;112,3;139;55;18;0;9;7;2784;3104;3231;2960;3384;7521;2955;2238;7,32;7,34;7,36;7,39;7,41;6,33;7,46;7,49;7,5;7,53;7,55;7,58;0,05;0,18;4,33;9,55;3556;4288;4224;4538;4144;4256;4889;3734;578;651;599;610;575;623;615;594;592;625;593;603;520;513;459;407;812;809;805;762;799;769;724;746;737;679;649;652;660;532;510;438
Barra Funda;74,17;74,11;74,95;74,53;71,71;77,49;75,16;72,7;71,57;73,47;72,73;72,05;70,78;68,4;218,75;226,39;190,57;155,57;159,47;166,99;175,97;176,66;172,94;179,24;181,71;182,92;204,36;585,51;166,09;133,67;119,28;136,11;150,44;145,8;138,08;136,56;118,66;134,58;201;124;998;0;88;101;143;125;112;163;296;714;204;168;1,06;1,08;1,09;1,11;1,13;1,14;2,02;1,17;1,19;1,21;1,23;1,24;2,56;0;4,52;4,49;207;244;160;219;348;326;393;331;98;89;87;72;68;88;97;89;131;113;128;124;121;111;128;103;97;109;105;139;150;163;223;272;259;267;273;271;258;232;219;201
Bela Vista;72,15;73,07;73,73;74,52;74,21;72,26;73,65;71,25;74,49;72,08;72,28;72,14;70,7;71,22;41,46;48,3;52,15;55,85;56,1;60,97;65,71;67,65;68,54;69;68,56;70,71;55,03;55,08;56,97;60,89;67,37;72,89;83,13;91,63;85,5;85,12;74,74;95,3;476;411;909;675;263;152;1387;2422;2906;2449;1184;2460;552;609;0;0;0;0;0;0;0;0;0;0;0;0;0,77;0,09;0;0,24;2148;2508;4058;4347;1440;1345;1059;1090;358;382;336;332;313;281;311;266;332;275;275;288;254;194;190;147;531;580;563;597;578;540;546;532;522;481;503;485;363;316;266;245
Belem;70,61;70,27;72,35;71,97;69,61;71;72,25;69,38;69,83;71,14;69,58;67,87;67,55;70,36;123,38;127,37;129,85;140,78;144,6;153,72;157,82;150,69;148,47;149,88;142,1;139,78;114,19;103,81;109,64;116,8;134,02;141,56;155,26;150,63;148,98;150,06;131,53;144,16;758;755;269;64;171;80;4400;6013;6165;4211;2734;2194;626;509;3,75;3,78;3,81;3,85;3,88;3,92;3,95;4;4,05;4,09;4,14;4,19;0,29;0,05;1,05;4,43;7136;7022;7903;6586;3288;1346;992;824;523;554;571;581;589;585;495;513;499;501;503;501;464;413;412;354;444;430;413;491;497;439;486;512;531;490;484;453;451;418;359;324
Bom Retiro;68,88;68,43;68,94;68,79;69,82;67,11;68,89;67,7;68,46;66,71;67,74;66,26;67,23;63,5;80,19;86,68;87,35;81,09;86,08;89,85;90,32;88,74;85,17;90,97;95,74;103,57;91,51;86,78;87,07;83,15;96;90,28;97,7;100;100,18;107,28;99,8;118,97;1251;1334;742;343;455;157;1961;2201;2283;2261;1767;2596;745;677;2,86;2,9;2,95;3;3,05;0;0;0;0;0;0;0;4,09;0,49;5,7;2,73;2999;3226;3059;3792;2033;1625;1032;989;347;345;353;292;291;288;280;300;266;293;276;306;275;240;244;225;216;188;220;262;243;264;250;224;232;254;271;258;234;227;218;180
Bras;61,37;65,65;66,47;67,05;63,18;61,19;65,01;61,75;64,46;63,53;61,6;63,19;63,26;60,48;88,92;96,71;99,76;104,6;94,03;99,84;104,36;103,18;108,06;113,17;116,27;121,97;95,41;84,97;85,59;93,7;96,83;95,38;107,31;106,28;110,05;112,73;114,59;124,82;1206;889;733;2328;810;971;1180;1290;1403;988;1349;2072;404;604;0,18;0,18;0;0;0;0;0;0;0;0;0;0;0;1,59;0,24;0,51;1611;1779;1871;1653;1632;1414;737;871;322;336;291;305;330;332;304;304;315;278;322;331;353;320;311;259;275;237;253;257;263;252;246;257;225;222;206;256;312;292;239;260
Brasilandia;61,02;60,21;61,04;61,16;58,87;59,35;58,12;58,27;58,24;58,05;57,11;56,43;56,2;54,89;83,69;85,39;86,92;87,62;84,38;87,99;88,72;92,49;96,27;95,67;93,1;90,07;81,84;73,6;74,15;74,98;83,59;77,91;83,94;86,81;88,08;87,37;86,32;90,24;64;65;19;0;8;5;13127;14441;15597;12420;16724;34338;13176;12058;25,06;25,41;25,79;26,17;26,56;22,25;27,36;27,9;24,76;25,77;24,02;23,74;1,33;1,38;12,4;13,29;14434;19169;19584;20161;21228;21270;21372;18030;2876;2891;2895;2887;2928;2794;2661;2777;2903;2881;2761;2741;2579;2392;2147;1801;2149;2158;2124;2022;2089;2234;2252;2070;2140;1970;2008;1900;1770;1729;1513;1413
Butanta;77,05;74,45;77,61;78,07;75,2;76,47;74,5;73,88;74,62;73,62;73,48;72,92;73,25;71,43;245,81;250,85;251,35;252,36;244,99;254,7;259,51;264,04;262,79;259,54;252,95;248,04;214,12;206,99;202,1;202,04;216,2;135,1;145,22;147,59;147,62;150,2;211,09;166,95;71;29;36;0;21;10;450;481;403;476;837;2278;498;558;1,31;1,31;1,32;1,33;1,33;1,11;1,35;1,36;1,37;1,38;1,39;1,4;0,3;0;0,89;2,17;634;847;557;698;1056;954;1123;1068;206;229;218;211;209;208;194;193;218;194;183;186;205;205;186;173;413;389;387;349;357;344;341;354;347;302;320;238;298;268;274;259
Cachoeirinha;64,3;63,41;63,87;63,65;61,82;61,5;62,05;61,71;62,63;62,1;60,23;60,11;59,31;56,88;96,97;98,23;98,32;97,51;92,79;94,93;96,46;97,76;98,01;95,85;95,23;93,14;90,72;81,31;80,92;84,97;88,52;87,47;91,25;94,25;94,12;91,57;90,92;92,35;126;72;10;0;13;1;4268;4688;4813;4330;4881;11896;4403;4389;20,02;20,24;20,46;20,68;20,9;18,61;21,36;21,02;21,24;20,04;20,19;20,99;0,74;0,26;8,93;15,85;4064;6714;6175;6646;6538;6700;7916;6862;1410;1472;1433;1417;1394;1395;1331;1410;1428;1386;1436;1487;1272;1206;1053;857;1239;1229;1312;1242;1306;1288;1306;1286;1275;1269;1187;1194;1072;1054;927;820
Cambuci;74,17;71,64;73,73;75,13;72,64;73,29;74,1;71,78;73,18;74,2;72,46;71;69,93;71,1;110,51;115,97;118,3;103,42;116,19;116,32;117,78;122,85;120,94;118,98;122,54;123,38;99,55;94,75;94,79;85,62;102,43;77,18;83,38;84,22;84,47;84,34;108,78;68,21;598;250;112;77;53;74;806;744;801;534;723;1329;383;304;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0,65;0,3;1090;1240;1074;878;849;783;661;509;226;201;236;218;200;181;177;181;202;176;173;202;195;173;198;184;340;334;358;342;362;320;339;341;356;311;311;307;302;279;284;270
Campo Belo;78,69;76,43;76,72;77,62;75,64;77,07;76,51;75,14;74,67;74,4;74,61;73,05;73,19;71,79;96,23;99,76;103,01;104,3;99,01;104,13;102,86;106,59;106,97;108,43;104,64;105,51;87,16;82,69;82,61;81,15;84,24;81,91;87,55;88,78;89,18;90,6;86,72;95,98;303;132;69;0;70;65;674;695;717;577;744;1712;587;534;9,14;9,13;9,13;9,14;9,14;6,43;9,15;10,32;10,32;10,34;7,11;7,13;0;0,73;1,6;5,19;890;1080;936;870;925;972;1032;885;274;229;263;256;240;243;206;233;242;255;257;309;287;287;259;223;477;489;510;550;548;521;561;545;559;487;461;457;494;390;391;339
