UF;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF
1980;5,84;4,85;4,53;17,63;4,03;0;0;1,29;1;1,46;1,87;3,48;6,37;6,99;3,85;1,39;2,55;5,18;6,04;4,47;3,08;1,96;1,94;5,01;0,61;4,99;3,38
1981;9,13;2,34;3,38;24,28;5,09;7,83;0;1,09;0,98;3,01;3,64;3,41;7,84;9,65;1,87;1,13;3,57;8,91;4,57;4,54;3,23;1,76;2,46;6,81;4,02;5,84;5,18
1982;12,8;4,51;3,69;14,16;3,12;3,68;0;0,36;1,28;1,8;1,77;4,12;5,46;5,19;3,59;2,64;3;3,75;4,04;4,49;4,33;2,43;2,54;5,69;1,07;5,88;2,74
1983;7,35;6,52;2,65;6,29;6,37;13,86;0;0,87;0;2,77;2,41;4,04;9,85;8,05;2,88;1,43;2,96;6,13;4,03;6,36;3,09;3,92;1,77;5,08;2;6,7;5,33
1984;4,78;6,3;4,23;5,66;4,33;9,83;0;1,03;1,23;1,98;1,01;2,48;7,1;5,85;1,11;1,95;3,32;6,31;4,88;6,76;4,08;2,02;3,11;8,99;2,82;5,37;3,89
1985;11,43;4,06;3,66;0;2,78;6,22;0;1,18;1,2;2,42;1,63;5,11;8,13;10,74;2,69;1,84;3,14;5,31;4,47;6,79;3,88;2,65;3,1;3,95;7,52;6,17;5,05
1986;8,95;3,93;1,96;4,72;4,69;5,92;0;1,32;0,59;3,22;0,32;6,93;6,64;5,83;2,61;1,86;2,55;6,38;5,15;6,64;3,01;0,82;2,59;6,85;6,28;5,83;6,56
1987;10,61;17,13;3,4;8,74;3,56;11,3;0;0,81;0,29;1,64;1,56;4,93;6,64;8,66;0,51;1,36;2,61;5,99;5,48;6,79;3,82;2,41;2,83;5,02;5,56;7,47;7,59
1988;14,92;5,54;5,47;20,34;3,92;0;0;1,12;1,14;1,84;2,43;5,77;6,23;6,98;0,98;2,22;2,77;8,98;5,18;6,47;4,2;2,7;3,73;4,91;3,41;7,13;4,29
1989;18,07;7,19;7,06;30,51;4,1;5,19;5,85;2,04;2,24;1,47;1,49;5,46;8,9;8,23;2,38;2,86;3,07;8,01;7,95;7,75;3,68;2,35;5,13;8,41;5,43;6,97;3,05
1990;13,31;7;4,8;39,54;5,76;7,5;2,45;2,63;0,55;2,56;2,04;2,91;9,84;5,55;3,71;1,82;2,86;10,88;12,18;7,75;4,38;2,78;4,95;7,46;5,56;5,33;6,34
1991;6,57;10,19;3,31;16,85;5,14;4,79;2,4;4,11;1,62;2,41;2,56;2,86;9,58;5,13;5,86;1,72;2,7;9,62;8,7;8,41;4,83;2,44;5,59;9,21;8,62;8,29;7,65
1992;11,09;15,8;2,55;12,97;3,72;4,25;1,52;1,94;1,07;2,17;1,98;3,28;7,12;6,42;3,98;2,1;2,76;10,31;7,06;6,28;3,4;1,86;5,2;10,67;5,6;8,28;4,97
1993;12,53;4,86;5,33;9,13;3,13;4,49;5,29;2,21;2,09;3,19;2,47;2,15;8,98;3,9;3,46;2,64;2,67;12,88;6,87;7,06;4,91;1,92;3,93;5,17;6,21;7,98;8,01
1994;8,38;7,94;3,98;5,83;4,23;13,09;5,91;0,87;1,29;2,31;1,89;1,91;7,41;5,38;5,96;4,64;3,2;10,39;9,93;7,89;4,24;2,76;4,44;8,71;1,2;5,54;7,18
1995;5,05;7,79;6,29;13,99;3;4,25;2,91;2,72;2,3;1,87;2,39;7,79;8,8;7,32;4,6;3,18;2,23;14,21;11,64;9,61;5,54;2,86;5,02;6,42;9,58;8,18;9,73
1996;11,83;13,49;5,93;35,68;8,4;23,63;3,5;2,02;0,48;3,84;3,88;9,12;7,74;8,08;5,46;4,58;3,47;13,68;14,95;9,46;6,48;4,49;6,98;11,55;11,1;8,56;8,83
1997;13,45;8,03;7,24;22,07;6,32;9,11;4,9;2,45;1,15;3,69;2,81;4,49;9,37;9,05;4,06;4,71;3,21;14,99;14,24;10,84;5,52;2,74;6,01;8,34;10,22;4,91;6,96
