UF;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF
2000;7,65;11,16;2,02;43,2;1,27;0;3,19;0,55;0,94;2,24;2,24;0,89;4,66;2,16;2,1;0,94;2,05;2,99;5,33;5,1;3,5;1,58;3,06;6,35;6,69;4,49;1,3
2001;12,61;8,32;2,73;4,33;3,12;4,02;5,69;2,08;2,01;1,52;0,94;1,3;3,5;2,66;2,25;0,8;1,85;4,26;4,37;4,71;4,27;1,57;3,19;4,81;6,76;3,69;1,41
2002;6,99;5,51;2,19;13;1,48;6,34;2,71;0,88;1,81;1,18;1,49;1;4,58;1,64;2,41;0,86;2,35;3,38;4,87;4,54;4,16;2,36;3,35;6,95;6,89;4,15;2,35
2003;11,8;11,16;1,5;3,28;2,53;4,03;3,15;1,46;2,04;0,79;2,84;0,57;3,36;1,13;2,59;1,09;3,1;5,41;4,89;4,21;4,72;1,96;3,1;6,47;6,99;3,73;2,39
2004;6,33;4,82;3,48;6,4;1,82;1,5;2,43;1,18;2,88;1,1;0,76;0,68;3,41;1,76;1,72;1,19;2,34;4,06;5,04;3,75;5,03;2,35;3,34;4,21;7,03;5,37;1,36
2005;5;6,4;2,26;4,48;2,95;3,15;3,55;1,01;2,2;1,13;1,69;1;2,27;1,67;1,18;1,32;3,03;4;4,68;3,47;4,6;1,98;3,82;6,21;7,29;3,6;2,4
2006;6,57;7,17;5,29;23,4;2,44;4,26;2,48;1,02;1,07;1,22;1,86;1,23;2,26;1,21;2,49;1,31;2,86;5,41;4,89;3,54;4,78;2,55;2,66;4,76;5,54;3,75;1,56
2007;2,85;8,82;1,79;17,5;2,85;4,47;1,14;1,54;2,47;1,89;1,97;1,12;2,06;2,51;2,51;1,56;2,72;3,8;4,12;2,64;4,88;2,2;3,33;6,31;7,45;4,2;2,22
2008;5,28;6,27;1,84;20,6;3,14;0;2,5;1,44;1,71;1,29;1,25;1,03;2,59;0,67;2,02;2,07;2,73;3,55;2,96;3,07;5,97;2,64;3,83;6,11;4,61;3,91;1,17
2009;5,34;6,45;1,96;19;2,63;2,42;4,66;2,33;1,99;1,87;3,08;1,38;2,41;0,51;2,42;1,72;2,76;3,76;3,12;2,81;6,63;2,94;3,85;6,46;6,49;3,61;2,32
2010;3,72;3,14;1,27;3,29;3,35;2,55;1,59;2,24;2,74;1,9;2,09;1,05;1,67;1,45;1,73;2,28;2,88;3,9;2,85;2,87;6,91;3,31;3,78;5,05;4,46;3,63;2,38
2011;4,5;4,07;3,51;1,56;2,95;4,05;5,36;2,53;1,06;1,59;1,59;2,24;1,21;1,62;2,79;2,2;3,29;4,49;2,93;2,55;5,43;2,36;3,63;5,54;4,65;4,78;2,42
2012;4,37;1,03;6,63;17,92;3,15;2,92;5,24;2,28;1,35;1,81;2,23;1,1;1,25;2,83;2,94;2,55;3,09;2,01;3,11;2,48;6,07;2,92;4,14;5;5,88;5,18;1,73
2013;7,11;3,37;6,08;36,13;4,13;2,45;4,44;3,14;2,54;2,43;2,84;1,62;1,58;4,32;2,55;2,67;3,13;4,45;3,36;2,62;5,58;2,8;3,52;5,56;4,86;5,26;1,73
2014;5,62;5,14;3,31;25,8;2,76;1,07;3,67;3,18;1,13;1,77;2,94;1,69;2,05;0,88;3,01;3,03;2,96;3,06;3,93;2,4;5,36;2,94;4,03;6,41;5,94;5,83;1,95
2015;4,56;7,18;5,25;27;2,41;3,08;4,61;4,2;2,33;1,52;1,24;1,78;2,05;0,22;1,86;2,67;2,9;2,93;3,7;2,3;4,76;2,57;4,52;3,22;5,48;5,76;2,06
2016;6,55;5,17;5,43;21,9;1,7;2,32;5,66;3,31;0,79;1,03;2,79;1,92;2,44;1,32;1,85;3,35;2,67;2,2;3,55;2,02;4,75;2,7;5,2;5,61;4,78;4,13;1,74
2017;7,53;10,6;3,75;16,6;2,43;2,44;3,54;1,73;2,58;2,38;2,54;1,51;3,15;0,23;4,57;3,45;2,73;3,14;3,43;2,17;5,18;2,9;5,01;4,51;3,94;4,52;1,9
2018;4,98;5,93;3,54;32,34;3,76;2,32;5,29;1,51;1,49;3,33;2,04;1,42;2,75;0,65;2,41;3,05;2,4;2,56;3,03;1,83;3,75;2,53;4,29;4,31;2,9;4,75;2,9
2019;4,05;5,38;6,64;19,4;2,4;1,08;1,7;2,73;3,31;1,52;1,47;1,58;2,71;0;1,2;1,94;2,03;1,57;1,99;1,71;3,79;2,88;3,78;5,74;5,24;3,15;2,72
2020;4,03;7,23;5,74;27;2,85;1,2;3,62;2,48;3,12;1,6;1,81;2,36;2,57;0;2,59;2,84;2,41;2;2,01;1,69;3,74;2,19;3,46;5,08;4,6;2,71;2,34
2021;6,48;2,59;6,94;10,4;2,12;0;7,89;2,59;3,9;2,71;1,35;2,19;2,73;0;1,08;3,24;1,9;3,32;2,47;1,42;3,09;2,63;3,82;3,81;3,61;3,75;2,83
2022;6,17;5,32;5,53;23,91;2,02;0;2,17;1,5;2,07;1,98;1,76;2,09;2,43;0,8;1,32;2,53;2,28;2,85;2,11;1,46;4,31;2,55;4,15;4,54;4,36;3,78;1,21
