NOME_MUNICIPIO;UF;IDHM2010;IDHMRenda2010;IDHMLongevidade2010;IDHMEducacao2010;GEOCODIGO_MUNICIPIO;COD_UF;LONGITUDE;LATITUDE
Abadia de Goiás;GO;0,708;0,687;0,83;0,622;5200050;52;-49,440548;-16,758812
Abadia dos Dourados;MG;0,689;0,693;0,839;0,563;3100104;31;-47,396832;-18,487565
Abadiânia;GO;0,689;0,671;0,841;0,579;5200100;52;-48,718812;-16,182672
Abaeté;MG;0,698;0,72;0,848;0,556;3100203;31;-45,446191;-19,155848
Abaetetuba;PA;0,628;0,579;0,798;0,537;1500107;15;-48,884404;-1,72347
Abaiara;CE;0,628;0,54;0,748;0,612;2300101;23;-39,047547;-7,356977
Abaíra;BA;0,603;0,577;0,746;0,51;2900108;29;-41,661608;-13,253532
Abaré;BA;0,575;0,533;0,776;0,46;2900207;29;-39,116588;-8,723418
Abatiá;PR;0,687;0,676;0,804;0,596;4100103;41;-50,312527;-23,300494
Abdon Batista;SC;0,694;0,66;0,812;0,625;4200051;42;-51,025272;-27,608987
Abel Figueiredo;PA;0,622;0,625;0,8;0,481;1500131;15;-48,396762;-4,951391
Abelardo Luz;SC;0,696;0,684;0,852;0,578;4200101;42;-52,336482;-26,563031
Abre Campo;MG;0,654;0,646;0,823;0,525;3100302;31;-42,48099;-20,301445
Abreu E Lima;PE;0,679;0,625;0,791;0,632;2600054;26;-34,899131;-7,904449
Abreulândia;TO;0,665;0,7;0,835;0,502;1700251;17;-49,162438;-9,621791
Acaiaca;MG;0,63;0,61;0,823;0,499;3100401;31;-43,148239;-20,360409
Açailândia;MA;0,672;0,643;0,785;0,602;2100055;21;-47,506665;-4,951377
Acajutiba;BA;0,582;0,56;0,723;0,487;2900306;29;-38,018286;-11,662613
Acará;PA;0,506;0,517;0,757;0,332;1500206;15;-48,200456;-1,963437
Acarape;CE;0,606;0,559;0,709;0,562;2300150;23;-38,705624;-4,223138
Acaraú;CE;0,601;0,554;0,758;0,517;2300200;23;-40,118241;-2,885311
Acari;RN;0,679;0,633;0,779;0,634;2400109;24;-36,643739;-6,442085
Acauã;PI;0,528;0,517;0,692;0,411;2200053;22;-41,083638;-8,220787
Aceguá;RS;0,687;0,703;0,852;0,541;4300034;43;-54,164732;-31,864015
Acopiara;CE;0,595;0,563;0,724;0,517;2300309;23;-39,455705;-6,092762
Acorizal;MT;0,628;0,594;0,816;0,51;5100102;51;-56,371553;-15,19789
Acrelândia;AC;0,604;0,584;0,808;0,466;1200013;12;-67,052317;-10,073794
Acreúna;GO;0,686;0,71;0,822;0,553;5200134;52;-50,374973;-17,398156
Açu;RN;0,661;0,641;0,795;0,568;2400208;24;-36,917923;-5,571946
Açucena;MG;0,61;0,595;0,844;0,451;3100500;31;-42,546211;-19,076713
Adamantina;SP;0,79;0,772;0,852;0,75;3500105;35;-51,073365;-21,688311
Adelândia;GO;0,702;0,664;0,836;0,622;5200159;52;-50,163147;-16,415002
Adolfo;SP;0,73;0,71;0,844;0,648;3500204;35;-49,649721;-21,23273
Adrianópolis;PR;0,667;0,644;0,817;0,563;4100202;41;-48,991755;-24,66169
Adustina;BA;0,546;0,526;0,718;0,432;2900355;29;-38,115506;-10,529572
Afogados da Ingazeira;PE;0,657;0,623;0,807;0,565;2600104;26;-37,637686;-7,748328
Afonso Bezerra;RN;0,585;0,56;0,713;0,502;2400307;24;-36,509148;-5,498734
Afonso Cláudio;ES;0,667;0,661;0,825;0,544;3200102;32;-41,12546;-20,07704
Afonso Cunha;MA;0,529;0,471;0,725;0,434;2100105;21;-43,320869;-4,135015
Afrânio;PE;0,588;0,542;0,761;0,493;2600203;26;-41,005797;-8,511091
Afuá;PA;0,489;0,485;0,774;0,311;1500305;15;-50,391428;-0,159172
Agrestina;PE;0,592;0,581;0,76;0,47;2600302;26;-35,946777;-8,455973
Agricolândia;PI;0,599;0,55;0,742;0,526;2200103;22;-42,659183;-5,795502
Agrolândia;SC;0,725;0,727;0,827;0,633;4200200;42;-49,825653;-27,400517
Agronômica;SC;0,741;0,774;0,884;0,595;4200309;42;-49,718369;-27,269716
Água Azul do Norte;PA;0,564;0,563;0,797;0,399;1500347;15;-50,485275;-6,804949
Água Boa;MG;0,576;0,594;0,799;0,403;3100609;31;-42,389643;-17,991053
Água Boa;MT;0,729;0,723;0,829;0,646;5100201;51;-52,158915;-14,049087
Água Branca;AL;0,549;0,527;0,728;0,432;2700102;27;-37,940715;-9,267025
Água Branca;PB;0,572;0,542;0,712;0,484;2500106;25;-37,642209;-7,51107
Água Branca;PI;0,639;0,6;0,763;0,569;2200202;22;-42,635131;-5,893266
Água Clara;MS;0,67;0,705;0,823;0,518;5000203;50;-52,875118;-20,448851
Água Comprida;MG;0,675;0,719;0,86;0,498;3100708;31;-48,108077;-20,059312
Água Doce;SC;0,698;0,724;0,82;0,574;4200408;42;-51,559097;-27,004092
Água Doce do Maranhão;MA;0,5;0,494;0,697;0,363;2100154;21;-42,115551;-2,840278
Água Doce do Norte;ES;0,652;0,619;0,819;0,546;3200169;32;-40,976456;-18,545546
Água Fria;BA;0,55;0,529;0,747;0,422;2900405;29;-38,768078;-11,872931
Água Fria de Goiás;GO;0,671;0,672;0,817;0,55;5200175;52;-47,782212;-14,985535
Água Limpa;GO;0,722;0,691;0,821;0,663;5200209;52;-48,761241;-18,071406
Água Nova;RN;0,616;0,527;0,776;0,572;2400406;24;-38,290825;-6,204717
Água Preta;PE;0,553;0,514;0,761;0,432;2600401;26;-35,518557;-8,709123
Água Santa;RS;0,75;0,84;0,85;0,59;4300059;43;-52,034633;-28,175055
Aguaí;SP;0,715;0,703;0,858;0,606;3500303;35;-46,979693;-22,059684
Aguanil;MG;0,663;0,672;0,845;0,513;3100807;31;-45,389465;-20,937432
Águas Belas;PE;0,526;0,546;0,691;0,385;2600500;26;-37,121957;-9,11459
Águas da Prata;SP;0,781;0,75;0,886;0,716;3500402;35;-46,716767;-21,934829
Águas de Chapecó;SC;0,713;0,712;0,811;0,629;4200507;42;-52,987251;-27,076213
Águas de Lindóia;SP;0,745;0,725;0,846;0,675;3500501;35;-46,631779;-22,473822
Águas de Santa Bárbara;SP;0,757;0,744;0,84;0,695;3500550;35;-49,238608;-22,869149
Águas de São Pedro;SP;0,854;0,849;0,89;0,825;3500600;35;-47,883975;-22,59734
Águas Formosas;MG;0,645;0,624;0,811;0,531;3100906;31;-40,935228;-17,082304
Águas Frias;SC;0,745;0,728;0,86;0,661;4200556;42;-52,859419;-26,880228
Águas Lindas de Goiás;GO;0,686;0,647;0,848;0,588;5200258;52;-48,283444;-15,737939
Águas Mornas;SC;0,723;0,731;0,853;0,606;4200606;42;-48,840538;-27,706597
Águas Vermelhas;MG;0,601;0,586;0,808;0,458;3101003;31;-41,458788;-15,74532
Agudo;RS;0,694;0,752;0,847;0,524;4300109;43;-53,258692;-29,645663
Agudos;SP;0,745;0,705;0,845;0,694;3500709;35;-48,990156;-22,474037
Agudos do Sul;PR;0,66;0,671;0,79;0,543;4100301;41;-49,338702;-25,990618
Águia Branca;ES;0,678;0,66;0,792;0,595;3200136;32;-40,736638;-18,987361
Aguiar;PB;0,597;0,632;0,753;0,447;2500205;25;-38,177582;-7,094806
Aguiarnópolis;TO;0,657;0,618;0,804;0,571;1700301;17;-47,470457;-6,547171
Aimorés;MG;0,684;0,685;0,81;0,576;3101102;31;-41,073327;-19,49195
Aiquara;BA;0,583;0,573;0,733;0,471;2900603;29;-39,885778;-14,127277
Aiuaba;CE;0,569;0,518;0,749;0,474;2300408;23;-40,12316;-6,563298
Aiuruoca;MG;0,668;0,677;0,871;0,505;3101201;31;-44,602824;-21,975897
Ajuricaba;RS;0,753;0,763;0,85;0,658;4300208;43;-53,772819;-28,237729
Alagoa;MG;0,649;0,634;0,832;0,518;3101300;31;-44,638099;-22,171136
Alagoa Grande;PB;0,582;0,576;0,797;0,43;2500304;25;-35,633892;-7,036775
Alagoa Nova;PB;0,576;0,567;0,749;0,451;2500403;25;-35,759457;-7,057799
Alagoinha;PB;0,595;0,574;0,795;0,462;2500502;25;-35,545491;-6,94814
Alagoinha;PE;0,599;0,569;0,801;0,472;2600609;26;-36,775456;-8,466271
Alagoinha do Piauí;PI;0,531;0,535;0,716;0,391;2200251;22;-40,934635;-7,008175
Alagoinhas;BA;0,683;0,681;0,79;0,592;2900702;29;-38,422616;-12,134183
Alambari;SP;0,712;0,682;0,805;0,658;3500758;35;-47,893588;-23,553899
Albertina;MG;0,673;0,684;0,813;0,549;3101409;31;-46,611603;-22,199764
Alcântara;MA;0,573;0,525;0,753;0,475;2100204;21;-44,417013;-2,403277
Alcântaras;CE;0,6;0,549;0,751;0,524;2300507;23;-40,544638;-3,586984
Alcantil;PB;0,578;0,55;0,765;0,458;2500536;25;-36,060604;-7,741477
Alcinópolis;MS;0,711;0,733;0,858;0,572;5000252;50;-53,70809;-18,325034
Alcobaça;BA;0,608;0,611;0,771;0,476;2900801;29;-39,194214;-17,518933
