UF;cod;sigla;Obs1995;Obs1996;Obs1997;Obs1998;Obs1999;Obs2000;Obs2001;Obs2002;Obs2003;Obs2004;Obs2005;Obs2006;Obs2007;Obs2008;Obs2009;Obs2010;Obs2011;Obs2012;Obs2013;Obs2014;Obs2015;Obs2016;Obs2017;Obs2018;Obs2019;Obs2020;Obs2021;Obs2022;Obs2023;ObsTotal;Pop1995;Pop1996;Pop1997;Pop1998;Pop1999;Pop2000;Pop2001;Pop2002;Pop2003;Pop2004;Pop2005;Pop2006;Pop2007;Pop2008;Pop2009;Pop2010;Pop2011;Pop2012;Pop2013;Pop2014;Pop2015;Pop2016;Pop2017;Pop2018;Pop2019;Pop2020;Pop2021;Pop2022;Pop2023;PopTotal
11 Rondônia;11;RO;152;152;129;170;134;96;135;171;180;179;151;189;180;217;220;255;250;196;214;213;262;230;236;215;249;263;265;252;234;5789;28336;31549;29393;30387;30445;30804;27692;28703;28329;28385;27612;24482;22555;26315;25608;25362;27125;25930;26619;27040;27378;26132;26982;27505;26452;25286;24923;24266;23434;785029
12 Acre;12;AC;92;89;99;85;101;91;93;75;98;105;106;160;141;134;135;129;152;145;170;144;154;156;127;143;147;154;157;157;177;3716;12070;13177;14146;12862;14484;14790;14647;15576;15740;16367;17212;16181;15900;17663;16570;16141;17380;16313;16765;16786;16639;15486;16039;16207;15975;14829;15405;14214;14225;449789
13 Amazonas;13;AM;355;312;390;321;362;399;425;495;488;481;487;617;586;606;663;588;674;645;716;756;758;742;776;759;778;676;739;742;752;17088;46429;47953;54786;56222;60844;66443;69117;69556;69749;70300;72097;74468;72378;73758;74581;73048;74955;76242;77681;79764;78757;75551;76888;76929;76439;74504;77263;71437;69334;2037473
14 Roraima;14;RR;41;25;39;58;70;59;58;65;71;60;70;85;83;94;90;77;85;98;87;115;110;110;123;156;143;155;142;128;179;2676;6915;7287;7970;8077;9574;9587;9447;8874;10000;9594;9546;9475;9420;9981;9565;9563;9804;10443;10657;10939;11232;11174;11562;13135;14411;13505;13666;12887;12844;301134
15 Pará;15;PA;417;409;579;529;659;597;717;752;914;968;934;1125;1085;1254;1217;1214;1242;1335;1421;1318;1394;1374;1432;1456;1401;1326;1366;1312;1393;31140;94688;97337;107088;114683;125390;124293;132682;133949;142628;140836;143269;147858;147996;148931;140949;138551;139480;135530;137129;141073;141168;135392;136509;139408;135921;130702;134777;125773;124011;3838001
16 Amapá;16;AP;113;124;143;134;84;88;115;116;143;129;147;163;165;184;167;161;195;178;202;175;171;166;157;198;188;158;174;146;144;4428;11984;13835;14169;14260;13349;14030;14374;13986;14527;13750;13984;14443;14176;14871;13996;14780;14796;14637;15407;16039;15518;15259;15081;15584;15059;14362;14699;13366;12705;417026
17 Tocantins;17;TO;80;147;138;129;137;150;165;219;184;190;174;201;180;199;202;215;217;212;220;207;250;235;253;282;269;254;279;262;255;5905;20958;23127;24835;24961;26014;25647;25938;25867;25588;25254;25924;25560;24612;25282;24498;24067;24574;23891;23692;24469;24627;23407;24491;24962;23965;23293;23317;22139;22700;707659
21 Maranhão;21;MA;249;203;284;416;497;563;623;668;654;743;767;1019;992;1073;1040;1073;1183;1002;1048;1142;1126;1105;1227;1198;1200;1162;1200;1175;1220;25852;51383;56730;71515;75751;92931;98081;105337;115457;125364;123871;127568;125466;125104;126054;121491;117512;118601;113618;112594;114914;115506;108674;110989;114914;111364;103565;106477;96118;95332;3082281
22 Piauí;22;PI;229;312;190;260;276;335;324;335;363;399;391;537;489;496;514;493;504;476;473;452;489;501;510;498;508;478;500;511;519;12362;37437;38083;31700;45643;48399;57492;57391;55211;54122;53704;55672;54422;52307;51821;49959;48550;48901;46694;45419;46879;48323;46142;47675;48502;46978;44269;45105;41388;41278;1389466
23 Ceará;23;CE;460;482;754;785;854;785;1006;1126;1130;1218;1230;1304;1227;1376;1435;1302;1307;1376;1503;1481;1575;1484;1561;1521;1640;1532;1512;1504;1441;35911;114053;113188;130965;136156;138349;140333;145671;140508;137423;134683;137493;132442;131353;131439;129088;126371;125835;124385;122567;125987;129831;122689;121795;125622;126515;119468;117760;109723;108676;3700368
24 Rio Grande do Norte;24;RN;367;418;390;468;465;451;517;469;483;540;487;508;545;525;538;536;574;559;603;540;599;566;595;649;549;564;585;509;529;15128;58152;56384;55896;56317;56997;55499;52563;52323;51496;49949;51459;47238;47175;48910;48010;46803;47109;46019;45872;47128;48006;44462;45369;47145;43238;42631;42471;39246;38583;1412450
25 Paraíba;25;PB;204;346;311;382;402;356;431;416;455;444;525;569;558;555;548;558;532;567;567;542;584;551;589;591;605;602;592;588;533;14503;24578;46072;38328;50370;52753;55864;63300;62169;62513;60980;63064;59099;58319;60738;58804;57547;57441;55556;55691;56279;57812;54974;56347;59061;56501;55135;54905;49839;50405;1594444
26 Pernambuco;26;PE;1121;1193;1141;1237;1340;1316;1391;1365;1283;1388;1451;1464;1397;1438;1469;1492;1498;1633;1550;1586;1594;1480;1517;1517;1444;1407;1397;1390;1386;40885;157503;153153;149869;158062;161542;160373;160982;153106;149058;146951;149364;143388;140532;142522;139164;134043;137263;138548;138659;140636;142089;128209;133183;135464;130572;125953;123631;114892;113834;4102545
