UF;sigla;POP1872;POP1890;POP1900;POP1920;POP1940;POP1950;POP1960;POP1970;POP1980;POP1991;POP2000;POP2010;POP2022
Acre;AC;0;0;0;92379;79768;114755;160208;218006;306893;417165;557226;733559;829780
Alagoas;AL;348009;511440;649273;978748;951300;1093137;1271062;1606174;2011875;2512991;2819172;3120494;3125254
Amapá;AP;0;0;0;0;0;37477;68889;116480;180078;288690;475843;669526;774268
Amazonas;AM;57610;147915;249756;363166;438008;514099;721215;960934;1449135;2102901;2813085;3483985;3952262
Bahia;BA;1379616;1919802;2117956;3334465;3918112;4834575;5990605;7583140;9597393;11855157;13066910;14016906;14659023
Ceará;CE;721686;805687;849127;1319228;2091032;2695450;3337856;4491590;5380432;6362620;7418476;8452381;8936431
Distrito Federal;DF;0;0;0;0;0;0;141742;546015;1203333;1598415;2043169;2570160;2923369
Espírito Santo;ES;82137;135997;209783;457328;790149;957238;1418348;1617857;2063679;2598505;3094390;3514952;3975100
Goiás;GO;160395;227572;255284;511919;661226;1010880;1626376;2460007;3229219;4012562;4996439;6003788;6950976
Maranhão;MA;359040;430854;499308;874337;1235169;1583248;2492139;3037135;4097231;4929029;5642960;6574789;6800605
Mato Grosso;MT;60417;92827;118025;246612;193625;212649;330610;612887;1169812;2022524;2502260;3035122;3784239
Mato Grosso do Sul;MS;0;0;0;0;238640;309395;579652;1010731;1401151;1778741;2074877;2449024;2833742
Minas Gerais;MG;2039735;3184099;3594471;5888174;6763368;7782188;9960040;11645095;13651852;15731961;17866402;19597330;20732660
Pará;PA;275237;328455;445356;983507;944644;1123273;1550935;2197072;3507312;5181570;6189550;7581051;8442962
Paraíba;PB;376226;457232;490784;961106;1422282;1713259;2018023;2445419;2810032;3200677;3439344;3766528;4030961
Paraná;PR;126722;249491;327136;685711;1236276;2115547;4296375;6997682;7749752;8443299;9558454;10444526;11835379
Pernambuco;PE;841539;1030224;1178150;2154835;2688240;3395766;4138289;5253901;6244275;7122548;7911937;8796448;9051113
Piauí;PI;202222;267609;334328;609003;817601;1045696;1263368;1734894;2188150;2581215;2841202;3118360;3270174
Rio de Janeiro;RJ;1057696;1399535;1737478;2717244;3611998;4674645;6709891;9110324;11489797;12783761;14367083;15989929;16615526
Rio Grande do Norte;RN;233979;268273;274317;537135;768018;967921;1157258;1611606;1933126;2414121;2771538;3168027;3303953
Rio Grande do Sul;RS;434813;897455;1149070;2182713;3320689;4164821;5448823;6755458;7942722;9135479;10181749;10693929;11088065
Rondônia;RO;0;0;0;0;0;36935;70783;116620;503125;1130874;1377792;1562409;1616379
Roraima;RR;0;0;0;0;0;18116;29489;41638;82018;215950;324152;450479;634805
Santa Catarina;SC;159802;283769;320289;668743;1178340;1560502;2146909;2930411;3687652;4538248;5349580;6248436;7762154
São Paulo;SP;837354;1384753;2282279;4592188;7180316;9134423;12974699;17958693;25375199;31546473;36969476;41262199;46024937
Sergipe;SE;176243;310926;356264;477064;542326;644361;760273;911251;1156642;1491867;1781714;2068017;2211868
Tocantins;TO;0;0;0;0;165188;204041;328486;537563;738688;920116;1155913;1383445;1584306
Brasil;BR;9930478;14333915;17438434;30635605;41236315;51944397;70992343;94508583;121150573;146917459;169590693;190755799;207750291
