Num;Regiao;Total;Pop_10_a_14_anos;Pop_15_a_19_anos;Pop_20_a_24_anos;Pop_25_a_29_anos;Pop_30_a_34_anos;Pop_35_a_39_anos;Pop_40_a_44_anos;Pop_45_a_49_anos;Pop_50_a_54_anos;Pop_55_a_59_anos;Pop_60_a_64_anos;Pop_65_a_69_anos;Pop_70_a_74_anos;Pop_75_a_79_anos;Pop_80_a_84_anos;Pop_85_a_89_anos;Pop_90_a_94_anos;Pop_95_a_99_anos;Pop_100_anos_ou_mais;cod_rgi
1;Porto Velho;281011;21620;21616;23093;23646;22867;23958;22454;18734;16351;14143;11096;7956;5138;3025;1946;946;400;127;34;110001
2;Ariquemes;91133;6725;7256;7478;7296;7214;7611;7266;6312;5443;4608;3666;2698;1861;1180;686;308;106;25;6;110002
3;Jaru;51899;3788;3970;3854;4049;3996;4185;4292;3689;3125;2756;2212;1793;1239;780;464;247;82;22;4;110003
4;Ji-Paraná;145510;9933;10941;10746;11305;11515;11736;11578;10090;9154;8209;6730;5097;3552;2258;1441;734;290;82;22;110004
5;Cacoal;147197;9949;10739;11456;11522;11736;11791;11686;10403;9496;8204;6784;5176;3548;2329;1415;788;272;57;17;110005
6;Vilhena;76459;5410;5594;5733;6117;6381;6410;6074;5286;4775;4118;3292;2390;1742;1113;652;329;113;24;12;110006
7;Rio Branco;232616;18082;19326;20447;19727;18680;19134;18594;14937;12603;10549;8478;6461;4406;2804;1740;908;437;136;34;120001
8;Brasiléia;35015;3027;3083;3198;3050;2771;2574;2456;2028;1663;1430;1107;832;608;360;241;109;67;15;6;120002
9;Sena Madureira;28875;2980;2962;2695;2375;2197;2078;1902;1471;1120;871;702;589;398;302;174;92;41;25;2;120003
10;Cruzeiro do Sul;75844;7736;7941;7789;6346;5580;5654;5150;3808;2951;2337;1973;1426;1074;773;505;264;112;39;21;120004
11;Tarauacá;42336;4820;4942;3966;3394;2899;2727;2468;1866;1517;1141;954;668;527;378;266;115;74;18;7;120005
12;Manaus;1202660;93821;98450;106109;103594;94982;99612;96613;79235;64669;53134;43403;32591;21672;13379;8114;4599;1967;682;233;130001
13;São Gabriel da Cachoeira;41223;4615;4309;3799;3196;2735;2492;2051;1751;1436;1204;1003;788;640;446;274;120;60;35;16;130002
14;Coari;64193;6773;7173;6104;5158;4577;4400;4040;3100;2292;1959;1505;1229;809;539;383;209;89;44;21;130003
15;Manacapuru;68831;6681;7194;6388;5652;5237;4967;4437;3521;2870;2483;1942;1528;974;652;423;207;92;51;22;130004
16;Tefé;105851;11595;12130;10674;9040;7387;6923;5988;4496;3538;2826;2188;1670;1108;846;534;303;139;47;30;130005
17;Tabatinga;103826;12027;11221;9879;8263;7396;6478;5288;4093;3374;2704;2106;1551;1145;832;618;299;139;50;28;130006
18;Eirunepé;48639;5287;5435;4921;3990;3438;3185;2846;2116;1572;1374;1023;811;525;374;272;143;73;17;9;130007
19;Lábrea;65062;6554;6861;6441;5558;4861;4597;4105;3143;2525;2243;1695;1301;870;638;396;211;92;38;13;130008
20;Manicoré;75490;6952;7337;7431;6620;6287;5401;4823;3652;3023;2406;2002;1510;992;708;429;255;113;40;33;130009
21;Parintins;112699;11688;11959;10634;8965;7901;7497;6690;5289;4313;3752;3146;2587;1776;1215;815;506;282;104;40;130010
22;Itacoatiara;87329;8626;8742;8151;7259;6549;6429;5796;4751;3796;3073;2663;2009;1353;898;558;298;111;50;44;130011
23;Boa Vista;243745;20417;20929;23073;22475;20097;19584;17995;14125;11283;9277;7118;5160;3314;1974;1153;626;266;100;31;140001
24;Pacaraima;29519;3773;3159;2492;2201;1788;1631;1383;1067;925;646;573;383;244;158;130;46;31;4;2;140002
25;Rorainópolis;28315;2620;2541;2493;2412;2268;2275;1939;1533;1190;1052;849;620;403;227;127;57;22;7;3;140003
26;Caracaraí;14736;1478;1373;1293;1044;976;1034;999;795;672;643;459;362;193;120;82;28;15;3;4;140004
27;Belém;1281203;85326;94086;101170;101542;100592;105898;105641;90146;81273;68552;58733;46198;33574;22650;14535;8520;3835;1235;464;150001
28;Cametá;109221;10546;11226;10924;9355;8779;7874;6857;5576;4533;3570;2864;2523;1844;1365;911;516;193;88;76;150002
29;Abaetetuba;186584;16644;17865;17286;16995;15871;15171;13015;10402;8429;6582;5269;4097;2831;2000;1314;715;328;125;80;150003
30;Castanhal;256374;20680;22361;21219;20855;20485;20973;19215;16162;13722;11617;9713;7818;5539;4056;2652;1341;580;240;92;150004
31;Bragança;144797;14093;14488;12231;11374;11156;11223;9891;7734;6651;5843;4859;3749;2676;1924;1155;689;308;92;34;150005
32;Capanema;98751;7618;8414;7834;7885;7829;8209;7689;6157;5492;4678;4014;3202;2170;1648;1051;579;243;81;38;150006
33;Paragominas;145491;12737;13779;13836;12066;12801;12457;11034;7944;6653;5321;4414;3193;2100;1291;751;378;162;48;15;150007
34;Capitão Poço;58614;5238;5656;5128;4997;4948;4606;4099;3472;2853;2303;1852;1384;1043;713;482;231;101;26;11;150008
35;Marabá;261729;22439;23877;22752;21368;21463;22750;19641;15215;12734;11652;9229;6376;4373;2773;1783;922;383;112;39;150009
36;Parauapebas;195109;16935;17379;17868;18618;19178;19388;15423;10369;7869;6096;4288;2975;1924;1160;731;356;111;34;15;150010
37;Tucuruí;156196;13952;14818;14339;12877;12547;12510;11306;8773;7336;6348;5064;3782;2595;1552;987;458;204;65;31;150011
38;Redenção;108989;9061;9151;9277;9082;8437;8717;8076;6847;5778;5042;3960;2941;2022;1212;748;397;137;38;12;150012
39;Tucumã - São Félix do Xingu;66306;5874;5852;5918;5686;5798;5913;4909;3827;3148;2528;1907;1327;883;528;276;143;34;9;1;150013
40;Xinguara;46629;3818;3986;4080;4019;3940;3868;3497;2815;2328;1976;1503;1158;801;520;311;153;61;18;4;150014
41;Santarém;269526;23781;25382;24082;22699;20770;20604;18678;15317;12739;10920;9179;7233;5078;3438;2332;1242;560;158;35;150015
42;Itaituba;130796;11666;12130;12271;11569;10690;10106;8808;6810;5735;4827;3933;2883;1915;1106;655;343;138;35;14;150016
43;Oriximiná;104337;10589;10722;9003;8267;7552;7694;7058;5418;4239;3640;2919;2493;1713;1346;813;447;209;55;24;150017
44;Altamira;142137;12764;12839;12530;12140;11664;11636;10480;8140;6623;5592;4217;3151;2026;1320;861;401;180;37;11;150018
45;Almeirim - Porto de Moz;36112;3678;3948;3436;3079;2858;2641;2301;1743;1386;1026;818;602;391;302;222;90;45;14;18;150019
46;Breves;195150;21948;22249;19660;16534;13805;12543;10475;8291;6461;5038;4164;3275;2229;1627;991;595;249;126;134;150020
47;Soure-Salvaterra;74267;6765;7002;6749;6308;6134;5646;5095;4040;3484;2853;2401;1911;1206;902;589;355;177;51;39;150021
48;Macapá;293674;24296;25728;27794;26213;24078;23832;21781;17901;14728;11283;9078;6703;4288;2986;1849;1116;496;141;100;160001
49;Laranjal do Jari;22791;2186;2233;2166;1927;1703;1719;1559;1255;1092;929;642;437;300;231;114;67;19;11;6;160002
50;Oiapoque;32368;3365;3312;2863;2605;2504;2345;2034;1657;1349;1101;803;547;350;231;124;68;28;7;10;160003
51;Porto Grande;20410;2089;1996;1811;1659;1551;1523;1337;1063;864;653;511;370;221;136;72;44;19;10;6;160004
52;Palmas;169770;12541;13609;15901;15839;14993;15105;14251;11544;8939;7027;5307;3831;2436;1711;1000;533;212;61;19;170001
53;Porto Nacional;57820;4634;4557;4104;4335;4558;4623;4241;3649;3237;2882;2328;1925;1386;986;716;341;160;71;18;170002
54;Paraíso do Tocantins;59246;4489;4871;4536;4313;4492;4631;4519;3976;3549;3098;2521;1886;1395;900;585;326;137;50;15;170003
55;Miracema do Tocantins;23466;1881;1992;1688;1623;1624;1762;1705;1553;1348;1251;1074;849;619;366;288;167;75;25;11;170004
56;Araguaína;150997;11683;12718;12651;12135;11714;11916;11288;9481;8317;7273;5748;4455;3262;2306;1507;797;364;120;36;170005
57;Guaraí;41916;3192;3379;3217;3053;3070;3277;3188;2857;2462;2209;1805;1401;1090;713;458;253;93;35;15;170006
58;Colinas do Tocantins;31332;2509;2652;2485;2405;2333;2347;2386;2039;1775;1568;1206;985;740;497;366;169;77;27;9;170007
59;Tocantinópolis;23270;1921;1944;1705;1669;1756;1773;1767;1381;1219;1141;949;798;627;422;283;179;78;30;6;170008
60;Araguatins;66155;5689;6266;5472;4714;4899;5147;4674;3727;3151;3062;2591;2050;1488;1029;708;354;138;47;15;170009
61;Gurupi;92451;6562;6955;7024;6783;6817;7321;7361;6526;5791;5056;4062;3313;2562;1651;1053;562;262;97;24;170010
62;Dianópolis;37768;3054;3060;2784;2684;2653;2963;2800;2450;2105;1978;1619;1362;930;736;524;244;143;42;22;170011
63;São Luís;867909;59140;64202;72792;72496;74394;78458;72007;57491;52037;43618;35542;26871;18630;12295;8646;4887;2211;764;355;210001
64;Pinheiro;173543;15240;15447;14502;13008;13754;13951;12372;9535;8316;7315;6290;4980;3720;2606;1909;1134;505;177;94;210002
65;Chapadinha;133788;13135;13765;11801;9906;10225;10155;8571;6841;5605;5501;4441;3818;3023;1949;1437;766;337;137;75;210003
66;Itapecuru Mirim;119159;10795;11479;10852;9292;9854;9727;8222;6134;5438;4943;4065;3194;2432;1523;1135;598;279;109;107;210004
67;Viana;122733;10709;10916;9467;8877;9111;9894;8665;7084;6131;5620;4653;3877;2952;1935;1561;922;361;139;54;210005
68;Barreirinhas;57823;5918;6359;4991;4474;4409;4559;3859;2948;2428;2048;1664;1332;1061;646;448;282;113;41;32;210006
69;Tutóia - Araioses;85590;7714;8221;6966;6627;6750;6775;5794;4594;4044;3790;2895;2485;2041;1382;945;560;279;86;35;210007
70;Cururupu;60321;4927;5203;4603;4282;4402;4876;4195;3625;3346;2927;2599;2052;1465;1099;819;494;227;74;28;210008
71;Santa Inês;203307;18692;19538;16883;14583;14827;15999;14627;11363;9577;8703;7412;6207;4723;3159;2202;1180;473;180;73;210009
72;Bacabal;193299;16322;17848;16172;14200;14120;15145;14028;11279;9925;9313;7490;6145;4656;3145;2186;1106;470;175;110;210010
73;Governador Nunes Freire;97166;9236;9549;8421;7571;7773;7649;6498;4923;4145;3822;3081;2373;1803;1219;802;405;176;59;24;210011
