"cod_rgint";"interp_homem_60_69_2000";"interp_homem_60_69_2001";"interp_homem_60_69_2002";"interp_homem_60_69_2003";"interp_homem_60_69_2004";"interp_homem_60_69_2005";"interp_homem_60_69_2006";"interp_homem_60_69_2007";"interp_homem_60_69_2008";"interp_homem_60_69_2009";"interp_homem_60_69_2010";"interp_homem_60_69_2011";"interp_homem_60_69_2012";"interp_homem_60_69_2013";"interp_homem_60_69_2014";"interp_homem_60_69_2015";"interp_homem_60_69_2016";"interp_homem_60_69_2017";"interp_homem_60_69_2018";"interp_homem_60_69_2019";"interp_homem_60_69_2020";"interp_homem_60_69_2021";"interp_homem_60_69_2022";"interp_homem_60_69_2023";"interp_homem_60_60_2024";"interp_mulher_60_69_2000";"interp_mulher_60_69_2001";"interp_mulher_60_69_2002";"interp_mulher_60_69_2003";"interp_mulher_60_69_2004";"interp_mulher_60_69_2005";"interp_mulher_60_69_2006";"interp_mulher_60_69_2007";"interp_mulher_60_69_2008";"interp_mulher_60_69_2009";"interp_mulher_60_69_2010";"interp_mulher_60_69_2011";"interp_mulher_60_69_2012";"interp_mulher_60_69_2013";"interp_mulher_60_69_2014";"interp_mulher_60_69_2015";"interp_mulher_60_69_2016";"interp_mulher_60_69_2017";"interp_mulher_60_69_2018";"interp_mulher_60_69_2019";"interp_mulher_60_69_2020";"interp_mulher_60_69_2021";"interp_mulher_60_69_2022";"interp_mulher_60_69_2023";"interp_mulher_60_69_2024";"interp_homem_70_79_2000";"interp_homem_70_79_2001";"interp_homem_70_79_2002";"interp_homem_70_79_2003";"interp_homem_70_79_2004";"interp_homem_70_79_2005";"interp_homem_70_79_2006";"interp_homem_70_79_2007";"interp_homem_70_79_2008";"interp_homem_70_79_2009";"interp_homem_70_79_2010";"interp_homem_70_79_2011";"interp_homem_70_79_2012";"interp_homem_70_79_2013";"interp_homem_70_79_2014";"interp_homem_70_79_2015";"interp_homem_70_79_2016";"interp_homem_70_79_2017";"interp_homem_70_79_2018";"interp_homem_70_79_2019";"interp_homem_70_79_2020";"interp_homem_70_79_2021";"interp_homem_70_79_2022";"interp_homem_70_79_2023";"interp_homem_60_60_2024";"interp_mulher_70_79_2000";"interp_mulher_70_79_2001";"interp_mulher_70_79_2002";"interp_mulher_70_79_2003";"interp_mulher_70_79_2004";"interp_mulher_70_79_2005";"interp_mulher_70_79_2006";"interp_mulher_70_79_2007";"interp_mulher_70_79_2008";"interp_mulher_70_79_2009";"interp_mulher_70_79_2010";"interp_mulher_70_79_2011";"interp_mulher_70_79_2012";"interp_mulher_70_79_2013";"interp_mulher_70_79_2014";"interp_mulher_70_79_2015";"interp_mulher_70_79_2016";"interp_mulher_70_79_2017";"interp_mulher_70_79_2018";"interp_mulher_70_79_2019";"interp_mulher_70_79_2020";"interp_mulher_70_79_2021";"interp_mulher_70_79_2022";"interp_mulher_70_79_2023";"interp_mulher_70_79_2024";"interp_homem_80_mais_2000";"interp_homem_80_mais_2001";"interp_homem_80_mais_2002";"interp_homem_80_mais_2003";"interp_homem_80_mais_2004";"interp_homem_80_mais_2005";"interp_homem_80_mais_2006";"interp_homem_80_mais_2007";"interp_homem_80_mais_2008";"interp_homem_80_mais_2009";"interp_homem_80_mais_2010";"interp_homem_80_mais_2011";"interp_homem_80_mais_2012";"interp_homem_80_mais_2013";"interp_homem_80_mais_2014";"interp_homem_80_mais_2015";"interp_homem_80_mais_2016";"interp_homem_80_mais_2017";"interp_homem_80_mais_2018";"interp_homem_80_mais_2019";"interp_homem_80_mais_2020";"interp_homem_80_mais_2021";"interp_homem_80_mais_2022";"interp_homem_80_mais_2023";"interp_homem_60_60_2024";"interp_mulher_80_mais_2000";"interp_mulher_80_mais_2001";"interp_mulher_80_mais_2002";"interp_mulher_80_mais_2003";"interp_mulher_80_mais_2004";"interp_mulher_80_mais_2005";"interp_mulher_80_mais_2006";"interp_mulher_80_mais_2007";"interp_mulher_80_mais_2008";"interp_mulher_80_mais_2009";"interp_mulher_80_mais_2010";"interp_mulher_80_mais_2011";"interp_mulher_80_mais_2012";"interp_mulher_80_mais_2013";"interp_mulher_80_mais_2014";"interp_mulher_80_mais_2015";"interp_mulher_80_mais_2016";"interp_mulher_80_mais_2017";"interp_mulher_80_mais_2018";"interp_mulher_80_mais_2019";"interp_mulher_80_mais_2020";"interp_mulher_80_mais_2021";"interp_mulher_80_mais_2022";"interp_mulher_80_mais_2023";"interp_mulher_80_mais_2024"
1101;10732;11240;11773;12331;12915;13527;14167;14839;15542;16278;17049;17848;18685;19561;20478;21438;22444;23496;24597;25751;26958;28222;29545;30930;32380;8814;9296;9804;10341;10906;11502;12132;12795;13495;14233;15011;15877;16793;17761;18786;19869;21015;22227;23509;24865;26300;27817;29421;31118;32913;4847;5082;5328;5586;5856;6140;6437;6749;7075;7418;7777;8128;8495;8878;9279;9698;10136;10593;11071;11571;12094;12639;13210;13806;14429;3829;4071;4329;4603;4894;5204;5533;5883;6255;6651;7072;7451;7849;8270;8712;9179;9670;10188;10733;11308;11913;12551;13223;13931;14677;1442;1540;1646;1758;1878;2007;2144;2290;2446;2613;2792;2927;3068;3215;3370;3533;3703;3881;4068;4264;4470;4685;4911;5148;5396;1401;1497;1600;1710;1827;1952;2086;2229;2382;2545;2720;2880;3050;3229;3419;3620;3834;4059;4298;4551;4819;5103;5403;5721;6058
1102;14466;14811;15164;15525;15896;16274;16662;17060;17466;17883;18309;19055;19832;20640;21482;22357;23269;24217;25204;26232;27301;28414;29572;30777;32032;11716;12162;12624;13104;13603;14120;14657;15214;15793;16394;17017;17814;18648;19521;20435;21392;22394;23442;24540;25689;26892;28151;29469;30849;32293;6709;6964;7229;7503;7789;8084;8392;8711;9042;9385;9742;10059;10385;10723;11071;11431;11803;12186;12582;12991;13413;13849;14299;14764;15243;4824;5118;5429;5759;6110;6482;6876;7295;7738;8209;8709;9089;9486;9900;10332;10783;11254;11745;12258;12793;13351;13934;14542;15177;15839;1821;1942;2072;2209;2357;2513;2681;2859;3049;3252;3469;3641;3822;4011;4211;4419;4639;4869;5111;5364;5630;5910;6203;6511;6834;1461;1571;1689;1816;1953;2100;2258;2428;2610;2807;3018;3207;3407;3620;3846;4087;4342;4614;4902;5209;5534;5880;6248;6639;7054
1201;6512;6808;7117;7440;7778;8131;8500;8886;9290;9712;10153;10606;11080;11575;12092;12632;13196;13785;14400;15043;15715;16417;17150;17916;18716;5942;6270;6617;6983;7369;7776;8206;8659;9138;9643;10176;10680;11208;11763;12345;12956;13597;14270;14977;15718;16496;17312;18169;19068;20012;3829;3946;4067;4191;4319;4451;4588;4728;4872;5021;5175;5388;5610;5842;6082;6333;6594;6866;7149;7443;7750;8069;8402;8748;9109;3256;3404;3559;3721;3891;4068;4253;4447;4649;4861;5082;5324;5577;5843;6121;6412;6717;7037;7371;7722;8090;8475;8878;9300;9743;1453;1529;1610;1694;1783;1877;1976;2080;2189;2304;2425;2493;2562;2634;2707;2783;2861;2941;3023;3107;3194;3283;3375;3469;3566;1439;1517;1599;1685;1776;1872;1973;2080;2192;2310;2435;2539;2648;2761;2880;3003;3131;3265;3405;3551;3703;3862;4027;4199;4379
1202;2413;2491;2572;2655;2741;2829;2921;3015;3112;3213;3317;3444;3575;3711;3853;4000;4152;4311;4475;4646;4823;5007;5198;5396;5602;2075;2167;2262;2362;2466;2575;2688;2807;2931;3060;3195;3318;3445;3577;3715;3857;4005;4159;4319;4484;4657;4835;5021;5214;5414;1283;1322;1361;1402;1445;1488;1533;1579;1627;1676;1726;1792;1861;1933;2008;2085;2165;2248;2335;2425;2518;2615;2716;2821;2929;1084;1128;1173;1221;1270;1321;1374;1430;1488;1548;1610;1684;1760;1841;1925;2013;2105;2201;2302;2407;2517;2632;2752;2878;3009;606;625;646;666;688;710;732;756;780;805;831;863;896;931;966;1004;1042;1082;1124;1167;1212;1259;1307;1357;1409;512;535;560;586;612;640;670;700;732;766;801;840;881;924;970;1017;1067;1119;1174;1231;1292;1355;1421;1491;1563
1301;25323;26565;27869;29236;30671;32176;33755;35411;37148;38971;40883;43009;45245;47597;50072;52676;55414;58296;61327;64515;67870;71399;75111;79016;83125;27950;29277;30667;32124;33649;35247;36921;38674;40510;42434;44449;46870;49422;52114;54952;57944;61100;64428;67936;71636;75537;79651;83989;88563;93386;12606;13141;13699;14280;14886;15517;16176;16862;17578;18323;19101;19927;20788;21686;22623;23601;24621;25685;26796;27954;29162;30422;31737;33109;34540;14564;15234;15936;16669;17437;18240;19079;19958;20877;21838;22843;23890;24985;26130;27328;28580;29890;31260;32693;34191;35758;37397;39111;40904;42778;4365;4610;4868;5142;5430;5735;6056;6396;6755;7134;7534;7780;8033;8295;8565;8844;9132;9430;9737;10055;10382;10721;11070;11431;11803;6316;6694;7094;7518;7967;8444;8948;9483;10050;10651;11288;11716;12160;12621;13099;13596;14111;14646;15202;15778;16376;16997;17641;18310;19004
1302;5611;5754;5900;6050;6204;6362;6524;6689;6860;7034;7213;7445;7685;7932;8187;8451;8723;9004;9294;9593;9901;10220;10549;10889;11239;4837;4974;5114;5258;5407;5560;5717;5878;6044;6215;6390;6596;6808;7028;7254;7488;7729;7978;8235;8501;8774;9057;9349;9650;9961;2762;2844;2928;3015;3105;3197;3292;3389;3490;3593;3700;3811;3925;4042;4164;4288;4417;4549;4685;4825;4970;5119;5272;5430;5592;2103;2198;2298;2403;2512;2626;2745;2869;3000;3136;3278;3386;3497;3612;3730;3853;3979;4110;4245;4384;4528;4676;4830;4989;5152;1058;1110;1165;1223;1284;1347;1414;1484;1558;1635;1716;1771;1828;1887;1948;2010;2075;2142;2211;2282;2355;2431;2509;2590;2673;949;992;1037;1084;1134;1185;1239;1295;1354;1416;1480;1556;1636;1720;1809;1902;1999;2102;2210;2324;2443;2569;2701;2840;2986
1303;3327;3468;3614;3767;3926;4092;4264;4445;4632;4828;5032;5227;5431;5642;5861;6088;6325;6571;6826;7091;7367;7653;7950;8259;8580;2778;2877;2980;3086;3196;3310;3428;3550;3677;3808;3944;4112;4287;4470;4661;4859;5066;5282;5507;5742;5987;6242;6508;6785;7075;1618;1687;1759;1834;1912;1993;2078;2167;2259;2356;2456;2549;2645;2746;2850;2957;3069;3186;3306;3431;3561;3696;3836;3981;4132;1272;1334;1399;1467;1538;1613;1692;1774;1860;1951;2046;2124;2205;2289;2377;2468;2562;2660;2761;2867;2976;3090;3208;3331;3458;574;600;626;654;683;714;745;778;813;849;887;931;977;1025;1075;1128;1184;1242;1303;1368;1435;1506;1580;1658;1740;585;612;640;669;700;732;765;800;837;875;915;960;1006;1055;1107;1161;1217;1277;1339;1404;1473;1545;1620;1699;1782
1304;5448;5594;5744;5898;6056;6219;6386;6557;6733;6914;7099;7410;7735;8074;8428;8797;9183;9585;10005;10444;10901;11379;11878;12399;12942;4909;5030;5153;5280;5410;5543;5679;5819;5962;6109;6259;6530;6812;7107;7415;7735;8070;8419;8783;9163;9560;9973;10405;10855;11325;3022;3120;3220;3324;3432;3543;3657;3775;3897;4023;4153;4256;4361;4469;4580;4693;4810;4929;5051;5176;5304;5435;5570;5708;5849;2582;2675;2771;2871;2975;3082;3193;3308;3427;3550;3678;3788;3902;4019;4139;4263;4391;4522;4658;4798;4941;5089;5242;5399;5561;1198;1253;1311;1371;1434;1500;1568;1640;1716;1795;1877;1923;1970;2018;2067;2118;2170;2223;2277;2333;2390;2448;2508;2569;2632;1303;1360;1420;1483;1548;1616;1687;1761;1839;1920;2004;2061;2120;2180;2242;2306;2372;2440;2509;2581;2654;2730;2808;2888;2970
1401;3439;3659;3894;4143;4408;4690;4991;5310;5650;6012;6397;6786;7198;7635;8099;8591;9113;9667;10254;10877;11538;12239;12983;13772;14609;3035;3240;3459;3693;3942;4209;4493;4797;5121;5467;5836;6248;6689;7162;7667;8209;8788;9409;10073;10784;11546;12361;13234;14168;15169;1666;1755;1850;1949;2053;2164;2280;2402;2531;2667;2810;2980;3160;3351;3553;3768;3995;4236;4492;4764;5051;5356;5680;6023;6387;1584;1676;1773;1875;1984;2099;2220;2349;2485;2629;2781;2952;3133;3326;3531;3748;3978;4222;4482;4758;5050;5360;5690;6040;6411;573;613;656;702;751;804;860;920;984;1053;1127;1182;1240;1301;1365;1432;1502;1575;1652;1733;1818;1908;2001;2099;2202;629;679;732;790;852;919;992;1070;1154;1245;1343;1409;1478;1551;1627;1707;1791;1879;1972;2069;2170;2277;2389;2506;2630
1402;922;983;1049;1119;1194;1273;1358;1449;1545;1648;1758;1836;1917;2003;2091;2184;2281;2382;2488;2599;2714;2834;2960;3091;3229;542;581;623;668;716;768;823;883;946;1015;1088;1158;1232;1310;1394;1484;1578;1679;1787;1901;2023;2152;2290;2437;2592;327;354;383;415;449;487;527;570;618;669;724;768;814;864;916;971;1030;1093;1159;1229;1303;1382;1466;1555;1649;244;258;272;287;303;320;338;357;377;398;420;449;481;514;550;588;629;673;720;770;824;882;943;1009;1079;94;102;111;121;132;144;157;170;186;202;220;235;250;267;285;303;324;345;368;392;419;446;476;508;541;73;79;86;93;101;109;119;129;139;151;164;175;186;198;211;224;239;254;271;288;307;327;348;371;394
