"cod_rgint";"homem_60_69_2000";"mulher_60_69_2000";"homem_70_79_2000";"mulher_70_79_2000";"homem_80_mais_2000";"mulher_80_mais_2000";"homem_60_69_2010";"mulher_60_69_2010";"homem_70_79_2010";"mulher_70_79_2010";"homem_80_mais_2010";"mulher_80_mais_2010";"homem_60_69_2022";"mulher_60_69_2022";"homem_70_79_2022";"mulher_70_79_2022";"homem_80_mais_2022";"mulher_80_mais_2022"
1101;10732;8814;4847;3829;1442;1401;17049;15011;7777;7072;2792;2720;29545;29421;13210;13223;4911;5403
1102;14466;11716;6709;4824;1821;1461;18309;17017;9742;8709;3469;3018;29572;29469;14299;14542;6203;6248
1201;6512;5942;3829;3256;1453;1439;10153;10176;5175;5082;2425;2435;17150;18169;8402;8878;3375;4027
1202;2413;2075;1283;1084;606;512;3317;3195;1726;1610;831;801;5198;5021;2716;2752;1307;1421
1301;25323;27950;12606;14564;4365;6316;40883;44449;19101;22843;7534;11288;75111;83989;31737;39111;11070;17641
1302;5611;4837;2762;2103;1058;949;7213;6390;3700;3278;1716;1480;10549;9349;5272;4830;2509;2701
1303;3327;2778;1618;1272;574;585;5032;3944;2456;2046;887;915;7950;6508;3836;3208;1580;1620
1304;5448;4909;3022;2582;1198;1303;7099;6259;4153;3678;1877;2004;11878;10405;5570;5242;2508;2808
1401;3439;3035;1666;1584;573;629;6397;5836;2810;2781;1127;1343;12983;13234;5680;5690;2001;2389
1402;922;542;327;244;94;73;1758;1088;724;420;220;164;2960;2290;1466;943;476;348
1501;40556;48516;19673;25915;7727;13786;61884;73474;29508;39446;11655;20302;102060;119684;49114;64264;18519;32935
1502;20601;19077;10710;9918;4399;5041;29100;27312;15307;14782;6178;7066;44349;44198;23354;23160;9571;11380
1503;13467;9949;5657;3998;1643;1715;20439;16315;10060;7893;3391;2898;34676;31714;16386;14377;6449;6231
1504;6406;4388;2441;1675;753;630;10220;7450;4718;3366;1395;1092;14743;12796;7310;5966;2859;2342
1505;13825;12381;6869;6404;2360;3045;18924;16659;9808;9273;3662;4204;30420;28640;15261;14596;6082;7060
1506;4287;3225;1855;1372;575;505;5982;4860;2938;2304;1065;940;10579;8788;4963;4039;1944;1879
1507;5928;5583;3288;2861;1662;1896;8549;7655;4439;4225;2044;2352;12981;11751;6807;5964;2835;3306
1601;4908;5112;2165;2371;982;1422;8314;8801;4038;4602;1558;2275;15524;16860;6811;7805;2829;3919
1602;874;643;374;274;170;148;1762;1144;734;534;255;259;2864;2231;1306;938;441;388
1701;7273;6265;3686;3163;1484;1476;11514;10189;6013;5494;2591;2515;19764;19721;10282;9799;4655;4810
1702;11412;10290;5850;5014;2185;2307;15269;13947;8894;8194;3663;3492;21702;21988;12719;12174;5963;6164
1703;5438;4834;2882;2520;1169;1164;7395;6898;4204;3672;1792;1818;10855;10356;6207;5879;2910;2973
2101;45949;49056;23266;25707;10314;14049;63360;68128;35416;40337;15014;20346;96906;110758;50480;58759;23284;33162
2102;23652;23472;12851;12136;5330;5826;29698;30450;17346;17215;7532;8351;37506;40349;22157;23439;10487;12040
2103;14180;15362;7487;7949;3346;4363;18057;20044;10599;11895;4598;6014;23978;27673;13589;15842;6334;8644
2104;9332;9929;5015;5212;2346;2701;12304;12713;7063;7642;3189;3640;15904;17144;9552;10516;4582;5680
2105;20111;19147;10007;9313;3985;4521;27746;26944;15237;14837;6243;6722;37942;39479;21928;22526;10166;11155
2201;27840;32101;15540;17935;6055;8049;38104;44143;21350;26782;9834;13867;57451;70798;32540;41326;14749;21999
2202;12388;13428;7100;7470;2944;3504;16053;17325;9616;10855;4382;5345;22001;24498;13573;15288;6330;8356
2203;9891;10797;5967;6252;2454;2767;13929;15168;7814;8835;3779;4366;18796;20209;11872;13531;5618;6732
2204;2925;3238;1733;1941;823;971;4255;4382;2370;2717;1125;1424;6028;6041;3808;3959;1701;2229
2205;3352;3707;2002;1981;822;957;4557;4698;2573;2891;1333;1443;7069;6827;4041;4339;1932;2286
2206;5088;5805;2907;3383;1300;1537;6571;7183;3852;4587;1896;2473;9206;10213;5543;6557;2770;3683
2301;73083;91947;43316;55824;16537;23942;105715;130361;57350;78130;27592;43885;160412;201922;84548;115343;38115;65430
2302;17746;19504;13269;14008;5839;6359;25125;27353;14235;16070;8832;10244;33866;36949;20984;24002;10564;13485
