Regiaodesaude;cod;num_mapa;UF;TRS;longitude;latitude;BCG1994;BCG1995;BCG1996;BCG1997;BCG1998;BCG1999;BCG2000;BCG2001;BCG2002;BCG2003;BCG2004;BCG2005;BCG2006;BCG2007;BCG2008;BCG2009;BCG2010;BCG2011;BCG2012;BCG2013;BCG2014;BCG2015;BCG2016;BCG2017;BCG2018;BCG2019;BCG2020;BCG2021;BCG2022; BCGTotal;POP2000;POP2001;POP2002;POP2003;POP2004;POP2005;POP2006;POP2007;POP2008;POP2009;POP2010;POP2011;POP2012;POP2013;POP2014;POP2015;POP2016;POP2017;POP2018;POP2019;POP2020;POP2021;PIB2010;PIB2011;PIB2012;PIB2013;Analfabetismo;Desemprego;BCGdose1994;BCGdose1995;BCGdose1996;BCGdose1997;BCGdose1998;BCGdose1999;BCGdose2000;BCGdose2001;BCGdose2002;BCGdose2003;BCGdose2004;BCGdose2005;BCGdose2006;BCGdose2007;BCGdose2008;BCGdose2009;BCGdose2010;BCGdose2011;BCGdose2012;BCGdose2013;BCGdose2014;BCGdose2015;BCGdose2016;BCGdose2017;BCGdose2018;BCGdose2019;BCGdose2020;BCGdose2021;BCGdose2022;POPm1a2000;POPm1a2001;POPm1a2002;POPm1a2003;POPm1a2004;POPm1a2005;POPm1a2006;POPm1a2007;POPm1a2008;POPm1a2009;POPm1a2010;POPm1a2011;POPm1a2012;POPm1a2013;POPm1a2014;POPm1a2015;POPm1a2016;POPm1a2017;POPm1a2018;POPm1a2019;POPm1a2020;POPm1a2021;POP1a2000;POP1a2001;POP1a2002;POP1a2003;POP1a2004;POP1a2005;POP1a2006;POP1a2007;POP1a2008;POP1a2009;POP1a2010;POP1a2011;POP1a2012;POP1a2013;POP1a2014;POP1a2015;POP1a2016;POP1a2017;POP1a2018;POP1a2019;POP1a2020;POP1a2021;TripViraldose2000;TripViraldose2001;TripViraldose2002;TripViraldose2003;TripViraldose2004;TripViraldose2005;TripViraldose2006;TripViraldose2007;TripViraldose2008;TripViraldose2009;TripViraldose2010;TripViraldose2011;TripViraldose2012;TripViraldose2013;TripViraldose2014;TripViraldose2015;TripViraldose2016;TripViraldose2017;TripViraldose2018;TripViraldose2019;TripViraldose2020;TripViraldose2021;TripViraldose2022;TripViralCV2000;TripViralCV2001;TripViralCV2002;TripViralCV2003;TripViralCV2004;TripViralCV2005;TripViralCV2006;TripViralCV2007;TripViralCV2008;TripViralCV2009;TripViralCV2010;TripViralCV2011;TripViralCV2012;TripViralCV2013;TripViralCV2014;TripViralCV2015;TripViralCV2016;TripViralCV2017;TripViralCV2018;TripViralCV2019;TripViralCV2020;TripViralCV2021;TripViralCV2022;PolioCV2000;PolioCV2001;PolioCV2002;PolioCV2003;PolioCV2004;PolioCV2005;PolioCV2006;PolioCV2007;PolioCV2008;PolioCV2009;PolioCV2010;PolioCV2011;PolioCV2012;PolioCV2013;PolioCV2014;PolioCV2015;PolioCV2016;PolioCV2017;PolioCV2018;PolioCV2019;PolioCV2020;PolioCV2021;PolioCV2022;Poliodose2000;Poliodose2001;Poliodose2002;Poliodose2003;Poliodose2004;Poliodose2005;Poliodose2006;Poliodose2007;Poliodose2008;Poliodose2009;Poliodose2010;Poliodose2011;Poliodose2012;Poliodose2013;Poliodose2014;Poliodose2015;Poliodose2016;Poliodose2017;Poliodose2018;Poliodose2019;Poliodose2020;Poliodose2021;Poliodose2022;TripViralD1CV2000;TripViralD1CV2001;TripViralD1CV2002;TripViralD1CV2003;TripViralD1CV2004;TripViralD1CV2005;TripViralD1CV2006;TripViralD1CV2007;TripViralD1CV2008;TripViralD1CV2009;TripViralD1CV2010;TripViralD1CV2011;TripViralD1CV2012;TripViralD1CV2013;TripViralD1CV2014;TripViralD1CV2015;TripViralD1CV2016;TripViralD1CV2017;TripViralD1CV2018;TripViralD1CV2019;TripViralD1CV2020;TripViralD1CV2021;TripViralD1dose2000;TripViralD1dose2001;TripViralD1dose2002;TripViralD1dose2003;TripViralD1dose2004;TripViralD1dose2005;TripViralD1dose2006;TripViralD1dose2007;TripViralD1dose2008;TripViralD1dose2009;TripViralD1dose2010;TripViralD1dose2011;TripViralD1dose2012;TripViralD1dose2013;TripViralD1dose2014;TripViralD1dose2015;TripViralD1dose2016;TripViralD1dose2017;TripViralD1dose2018;TripViralD1dose2019;TripViralD1dose2020;TripViralD1dose2021
11001 Vale do Jamari;11001;1;RO;1;-62,90371899;-9,722712894;102,01;114,27;134,16;122,39;131,11;120,98;127,47;112,68;97,65;89,46;101,35;100,52;128,1;146,24;109,27;103,96;95,55;94,73;91,04;108,28;114,04;104,3;91,49;87,99;102,6;95,33;89,15;83,85;79,42;105,58;178670;184831;190510;195768;200836;205807;210623;215155;219523;223745;227832;232909;238008;243127;248349;253663;258757;263856;269044;274136;279122;284003;12203,13;14438,46;14657,43;14348,83;10,6;4,28;4154;3948;4473;4324;4855;4590;5040;5066;4568;4347;4418;4416;4659;4371;4548;4224;3882;3849;3699;4171;3679;3829;3428;3297;3675;3575;3343;3131;2336;4314;4339;4323;4264;4192;4134;4029;3947;3896;3847;3801;3880;4040;4209;4425;4636;4567;4637;4770;4785;4792;4803;4313;4367;4373;4338;4293;4251;4167;4098;4055;4017;3976;4005;4031;4155;4272;4444;4590;4546;4633;4785;4813;4828;658;4422;4904;6243;4888;5181;5143;4737;4433;4109;3923;3853;3973;4539;4914;4102;4082;4236;3507;3915;3498;3337;1581;16,38;106,14;113,13;138,64;112,14;117,94;141,41;158,48;106,51;101,13;96,55;94,83;97,78;117,83;152,32;111,74;108,94;113,05;97,91;104,4;93,28;89,39;54,24;107,66;105,85;100,81;97,88;106,4;107,17;132,91;161,29;117,37;126,41;101,82;101,23;104,48;102,52;118,88;113,57;102,62;106,91;98,3;106,69;90,29;81,89;54,92;4257;4759;4716;4756;4638;4708;4834;4821;4885;5136;4137;4113;4245;3949;3835;4169;3845;4006;3521;4001;3386;3057;1601;16,38;106,14;113,13;138,64;112,14;117,94;141,41;158,48;106,51;101,13;96,55;94,83;97,78;117,83;152,32;111,74;108,94;113,05;97,91;104,40;93,28;89,39;658;4422;4904;6243;4888;5181;5143;4737;4433;4109;3923;3853;3973;4539;4914;4102;4082;4236;3507;3915;3498;3337
14002 Sul;14002;2;RR;1;-61,15300647;0,838040657;68,99;98,17;68,91;100,11;92;99,45;63,06;76,81;118,41;107,21;94,5;110,47;102,98;105;96,81;109,62;107,84;88,21;69,12;25,29;29,38;53,13;57,15;97,14;131,59;65,54;73,42;25,56;29,99;80,28;54006;56034;58015;60008;62072;64075;66065;68114;70200;72292;74358;76097;77839;79589;81358;83119;84888;86709;88559;90395;92202;93978;9321,76;10789,67;11520;14152,51;15,2;7,79;672;1071;769;886;828;907;782;1040;1434;1458;1186;1308;1210;1261;1244;1413;1390;1137;891;302;399;713;759;1290;1808;1006;1127;419;399;1575;1562;1526;1476;1449;1404;1403;1426;1459;1470;1494;1547;1592;1638;1708;1744;1750;1778;1776;1775;1764;1758;1597;1596;1573;1541;1528;1500;1492;1510;1530;1541;1554;1565;1596;1631;1669;1715;1721;1722;1750;1764;1777;1786;292;671;968;1257;1693;1356;1259;1205;1236;1350;1397;1401;1133;1366;1496;1595;1082;1271;1127;1257;1169;1461;611;23,55;54,11;71,49;103,8;134,9;114,53;107,15;100,33;96,19;104,73;108,38;108,69;87,9;114,41;110,16;118,85;81,48;95,71;82,02;81,89;76,16;89,14;46,04;95,16;93,57;110,98;93,46;85,1;115,96;104;102,25;87,39;106,21;106,44;103,57;86,66;109,21;97,79;99,78;101,2;104,29;80,79;60,2;74,33;61,99;38,73;1180;1267;1344;1271;1068;1373;1222;1228;1123;1369;1372;1335;1117;1304;1328;1339;1344;1385;1110;924;1141;1016;514;23,55;54,11;71,49;103,80;134,90;114,53;107,15;100,33;96,19;104,73;108,38;108,69;87,90;114,41;110,16;118,85;81,48;95,71;82,02;81,89;76,16;89,14;292;671;968;1257;1693;1356;1259;1205;1236;1350;1397;1401;1133;1366;1496;1595;1082;1271;1127;1257;1169;1461
11002 Café;11002;3;RO;3;-61,00590285;-11,57388247;80,58;88,89;89,53;119,87;119,68;111,89;101,7;121,92;115,16;107,41;111,48;106,15;130,33;114,9;103,84;104,86;95,28;82,02;92,08;103,52;119,37;131,98;115,85;114,78;110,24;93,38;86,15;93,21;83,51;103,78;156973;157947;158847;159680;160480;161268;162032;162748;163438;164106;164753;165557;166363;167172;168000;168841;169646;170455;171275;172081;172870;173643;13848,71;14932,57;16530,91;16367,44;9,1;5,26;4650;4311;4378;4180;4190;3933;3589;3805;3609;3379;3448;3122;2952;2706;2649;2846;2586;2226;2499;2702;2909;3211;3026;2998;2897;2650;2445;2443;1790;3249;3230;3174;3093;3011;2931;2840;2771;2718;2669;2617;2546;2532;2514;2526;2537;2469;2472;2507;2479;2446;2423;3285;3265;3209;3134;3048;2968;2867;2783;2719;2654;2593;2539;2487;2491;2490;2525;2549;2477;2481;2506;2478;2451;714;3268;3263;3635;2915;3031;2876;2745;2604;2687;2666;2104;2582;2478;2665;2721;2683;2461;2722;2972;2657;2953;1302;20,27;102,25;101,75;112,85;94,25;103,06;126,98;116,56;102,08;99,01;98,23;77,52;95,14;94,94;109,36;111,84;102,72;94,22;103,58;104,72;93,62;112,67;61,18;96,34;108,49;110,82;94,5;99,61;101,84;125,3;123,44;100,59;97,49;94,8;79,26;91,97;95,94;103,32;109;102,45;106,7;101,79;90,45;85,55;85,5;61,42;3400;3386;3473;2973;3081;2995;2838;2907;2566;2646;2573;2151;2496;2504;2518;2652;2676;2787;2675;2567;2428;2241;1307;20,27;102,25;101,75;112,85;94,25;103,06;126,98;116,56;102,08;99,01;98,23;77,52;95,14;94,94;109,36;111,84;102,72;94,22;103,58;104,72;93,62;112,67;714;3268;3263;3635;2915;3031;2876;2745;2604;2687;2666;2104;2582;2478;2665;2721;2683;2461;2722;2972;2657;2953
11003 Central;11003;4;RO;2;-62,45860179;-10,80559021;97,85;88,4;101,79;141,19;119,43;121,77;121,68;127,09;111,91;99,79;111,79;125,54;139,41;139,74;111,77;118,85;107,4;109,2;107,28;112,52;118,78;114,96;115,27;105,78;100,64;97,57;90,58;69,58;64,01;109,72;360398;359282;358255;357302;356384;355484;354613;353791;353000;352237;351496;350577;349654;348727;347782;346818;345896;344973;344033;343113;342211;341326;13394,38;14380,31;16363,27;15602,55;10,4;5,3;11310;8869;10552;10099;8957;8966;9059;9513;8502;7680;7480;7377;7167;5798;6390;6121;5531;5624;5525;6076;6129;5979;6040;5543;5052;5065;4702;3786;2800;7585;7478;7300;7068;6826;6586;6292;6031;5820;5624;5414;5293;5297;5297;5359;5416;5216;5177;5206;5106;4998;4905;7737;7615;7424;7175;6919;6671;6385;6143;5938;5750;5551;5420;5290;5273;5256;5302;5329;5137;5116;5143;5049;4956;770;6335;6977;8904;11070;7583;7016;5202;6302;5617;5119;5660;5125;5850;7139;5814;5443;5515;4778;6091;4522;3947;2119;10,13;84,05;91,26;114,96;165,45;129,05;136,47;125,38;110,23;109,07;99,4;109,9;99,51;108,33;138,35;111,79;103,87;105,25;95,18;117,34;87,11;72,54;48,58;95,81;112,38;97,31;93,48;107,25;127,33;141,84;135,94;99,56;110,41;98,06;115,5;103,22;109,59;112,66;108,02;104,31;109,85;92,67;112,27;87,44;66,95;46,91;7133;8412;7393;7194;7176;7482;7292;5640;5692;5686;5050;5948;5316;5918;5813;5618;5466;5756;4652;5828;4539;3643;2046;10,13;84,05;91,26;114,96;165,45;129,05;136,47;125,38;110,23;109,07;99,40;109,90;99,51;108,33;138,35;111,79;103,87;105,25;95,18;117,34;87,11;72,54;770;6335;6977;8904;11070;7583;7016;5202;6302;5617;5119;5660;5125;5850;7139;5814;5443;5515;4778;6091;4522;3947
11004 Madeira-Mamoré;11004;5;RO;3;-64,27145464;-9,958405904;95,39;116,05;108,69;99,02;124;108,34;106,29;108,15;96,47;97,03;107,19;109,96;114,29;94,71;105,14;105,47;106,86;117,19;117,22;111,8;104,59;108,24;103,79;87,16;80,01;78,3;67,33;50,03;63,04;99,58;416042;430720;444245;456772;468841;480687;492156;502958;513361;523418;533152;545242;557394;569583;582023;594685;606820;618965;631326;643452;655331;666953;19732,67;23493,8;24293;22321,4;6,1;5,58;11992;12284;11950;9118;11666;10436;10457;10451;9491;9732;9596;10298;9799;8633;9877;9890;10020;10989;10992;11914;11304;11620;11279;9472;8327;8316;7151;5094;5075;9955;10114;10157;10113;10037;9975;9810;9691;9619;9562;9493;9378;9482;9576;9800;10008;9890;10082;10396;10452;10505;10522;9817;10008;10081;10063;10016;9978;9789;9645;9560;9488;9402;9340;9280;9423;9567;9838;10120;9970;10135;10424;10456;10479;1854;8713;8323;10199;12444;10460;9878;9076;8871;9065;9195;10241;10934;11267;16933;11465;12349;10496;10804;10097;7791;7252;3668;19,82;92,48;86,77;104,32;139,01;111,69;115,21;99,57;94,43;96,67;98,06;109,21;116,6;105,72;156,67;106,8;113,64;96,59;103,81;95,07;73,35;71,83;47,36;97,28;96,25;91,41;89,68;100,85;102,67;107,46;98,29;100,12;105,14;98,97;112,84;109,81;96,12;104,4;100,35;102,54;105,91;107,04;86,05;72,04;66,46;43,1;9570;9301;8993;8995;9028;9615;9214;8959;9405;9859;9280;10581;10297;10243;11284;10773;11143;11509;11140;9139;7651;6710;3462;19,82;92,48;86,77;104,32;139,01;111,69;115,21;99,57;94,43;96,67;98,06;109,21;116,60;105,72;156,67;106,80;113,64;96,59;103,81;95,07;73,35;71,85;1854;8713;8323;10199;12444;10460;9878;9076;8871;9065;9195;10241;10934;11267;16933;11465;12349;10496;10804;10097;7791;7254
11005 Zona da Mata;11005;6;RO;1;-61,98625114;-12,23613825;94,59;104,72;94,98;135,3;116,09;118,86;112,54;108,83;92,5;84,87;98,27;109,49;107,13;101,34;105,82;96,7;102,75;103,05;104,65;93,45;92,31;99,9;92,12;93,77;94,89;74,83;33,8;55,85;89,04;98,14;141030;140697;140392;140106;139834;139565;139305;139062;138825;138597;138377;138102;137828;137550;137270;136982;136709;136433;136153;135877;135609;135345;10844,92;12356,09;14051,18;14057,31;11,4;5,44;5038;4413;4147;3783;3254;3290;3106;3033;2601;2407;2563;2514;2389;1962;2108;1935;2056;2062;2094;2011;1968;2011;1847;1880;1840;1501;678;1107;1393;2830;2805;2753;2676;2604;2521;2416;2327;2252;2179;2111;2072;2075;2081;2107;2132;2053;2040;2048;2009;1966;1929;2992;2937;2861;2757;2655;2552;2448;2362;2289;2223;2153;2105;2061;2062;2052;2078;2089;2018;2008;2019;1986;1950;584;3032;2871;3021;2425;2690;2636;2027;2307;2187;2094;1964;1992;2303;2917;2067;2177;2205;2138;2555;1619;1804;1017;20,87;104,52;98,09;102,34;92,98;117,16;118,21;104,7;115,81;109,3;104,65;98,15;99,55;107,02;136,82;102,68;108,58;109,98;110,26;127,37;80,71;91,02;65,57;107,1;104,09;96,69;92,7;99,39;107,88;112,51;110,9;121,08;116,84;104,7;106,45;107,85;97,77;98,5;100,75;105,04;109,88;103,76;103,49;79,41;84,11;57,12;2956;2901;2719;2629;2592;2477;2509;2147;2412;2338;2095;2130;2158;2104;2100;2028;2106;2203;2012;2076;1593;1667;886;20,87;104,52;98,09;102,34;92,98;117,16;118,21;104,70;115,81;109,30;104,65;98,15;99,55;107,02;136,82;102,68;108,58;109,98;110,26;127,37;80,71;91,12;584;3032;2871;3021;2425;2690;2636;2027;2307;2187;2094;1964;1992;2303;2917;2067;2177;2205;2138;2555;1619;1806
11006 Cone Sul;11006;7;RO;2;-60,80983263;-12,66078718;88,61;101,33;100,55;130,46;133,59;106,63;104,8;109,59;109,88;107,43;100,78;91,97;101,76;106,78;93,3;103,93;84,19;98,28;100,88;104,75;116,75;109,98;110,36;122,66;106,83;103,56;60,38;95,22;109,04;103,62;122259;124572;126706;128679;130583;132452;134259;135963;137602;139189;140723;142629;144545;146467;148429;150425;152338;154253;156201;158113;159987;161819;16376,32;17277,87;21195,91;20495,35;8,7;6,02;3579;3422;3493;3358;3460;2781;2749;2559;2591;2558;2330;2142;2253;1968;2116;2354;1907;2226;2285;2383;2425;2535;2577;2864;2470;2444;1425;2333;2191;2435;2521;2573;2600;2628;2656;2580;2515;2459;2414;2363;2314;2316;2316;2348;2379;2340;2367;2431;2431;2429;2426;2507;2559;2588;2594;2594;2593;2522;2462;2418;2381;2336;2310;2279;2301;2322;2369;2420;2372;2399;2452;2446;2441;702;2264;2299;3150;3092;2471;2604;2207;2355;2294;2369;2270;2269;2453;3326;2493;2667;2482;2301;2721;2403;2491;1371;25,85;90,34;90,87;123,29;133,74;106,1;117,62;119,75;103,84;101,28;104,59;100,22;100,18;107,82;160,13;108,16;114,22;106,3;99,52;115,3;101,82;101,67;68,48;98,28;108,61;108,48;101,76;108;109,02;123,85;129,19;116,01;119,82;104,59;101,72;103,22;95,74;111,46;108,24;111,61;108,61;100,82;109,62;102,08;86,41;58,24;2578;2536;2558;2423;2497;2539;2742;2381;2631;2714;2369;2304;2338;2178;2315;2495;2606;2536;2331;2587;2409;2117;1166;25,85;90,34;90,87;123,29;133,74;106,10;117,62;119,75;103,84;101,28;104,59;100,22;100,18;107,82;160,13;108,16;114,22;106,30;99,52;115,30;101,82;101,71;702;2264;2299;3150;3092;2471;2604;2207;2355;2294;2369;2270;2269;2453;3326;2493;2667;2482;2301;2721;2403;2492
11007 Vale do Guaporé;11007;8;RO;2;-63,37968196;-12,20541968;87,31;51,3;111,46;87,6;81,23;85,33;72,43;86,95;80,68;102,14;109,76;106,12;113,24;132,78;95,03;137,67;162,33;120,32;114,4;91,85;114,33;112,57;94,36;120,13;89,84;92,67;68,93;72,73;59,42;96,95;33646;34730;35731;36656;37548;38424;39271;40070;40839;41582;42301;43194;44092;44994;45913;46849;47745;48643;49557;50453;51330;52189;9639,35;10843,47;11718,7;11843,3;9,6;4,62;633;335;720;643;636;727;654;786;760;1004;1001;954;975;806;669;698;823;610;580;642;766;770;703;895;619;683;508;512;306;937;915;886;845;806;762;755;750;754;761;761;785;825;862;913;961;943;954;981;977;972;976;938;929;909;881;850;822;809;800;795;793;788;799;809;837;865;906;932;923;944;971;975;976;7;725;976;1438;953;1176;1090;839;850;714;818;693;610;557;1045;815;846;985;765;919;607;425;320;0,84;78,98;102,09;143,94;104,5;130,81;126,6;138,22;120,74;140,83;161,34;136,69;120,32;79,69;155,97;119,15;113,56;132,21;111,03;124,69;82,36;60,37;62,14;87,82;106,75;102,44;105,19;109,54;129,37;116,96;154,7;113,49;162,52;174,56;149,7;139,84;109,87;117,76;113,89;162,01;135,3;108,56;112,08;84,12;80,11;55,15;793;965;965;1034;999;1163;1007;939;799;824;885;759;709;768;789;779;1207;1008;748;826;620;564;284;0,84;78,98;102,09;143,94;104,50;130,81;126,60;138,22;120,74;140,83;161,34;136,69;120,32;79,69;155,97;119,15;113,56;132,21;111,03;124,69;82,36;60,37;7;725;976;1438;953;1176;1090;839;850;714;818;693;610;557;1045;815;846;985;765;919;607;425
12001 Alto Acre;12001;9;AC;1;-69,15972088;-10,71407913;35,59;82,6;86,46;148,4;130,65;104,41;127,34;112,93;117,28;102,78;113,89;97,29;90,54;109,06;96,77;92,33;92,62;87,07;69,83;68,25;67,53;63,66;56,57;78,29;81,14;74,96;57,5;52,79;37,6;86,39;45139;46756;48391;50032;51641;53280;54922;56530;58149;59735;61202;62356;63546;64682;65845;67020;68114;69194;70318;71429;72528;73617;8454,43;9053,9;10260,98;12741,42;19,2;5,92;405;940;1015;1389;1249;1019;1509;1415;1541;1407;1476;1366;1263;1372;1439;1264;1268;1192;956;976;888;832;740;1024;1037;1060;813;748;431;1167;1196;1228;1251;1267;1287;1298;1300;1298;1296;1270;1296;1330;1297;1330;1354;1284;1272;1312;1303;1294;1291;1276;1308;1335;1356;1367;1382;1394;1398;1399;1399;1377;1284;1305;1338;1302;1332;1344;1278;1272;1312;1305;1302;348;1057;1125;1467;2181;1304;1144;1733;1368;1441;1490;1357;1256;1325;1300;1054;954;1091;1078;1103;760;813;438;29,37;89,2;89,78;111,64;168,29;92,88;82,01;137,76;92;105,26;108,84;99,12;91,75;92,66;98,86;80,64;72,94;83,41;84,35;78,01;53,75;57,37;38,93;132,24;113,01;107,76;120,67;105,02;88,03;88,32;138,95;95,63;124,69;106,72;97,66;95,76;118,81;82,81;101,61;80,89;86,77;92,02;81,75;57,14;55,26;39,56;1567;1416;1416;1652;1361;1236;1232;1748;1422;1707;1461;1337;1311;1699;1089;1328;1058;1135;1176;1156;808;783;445;29,37;89,20;89,78;111,64;168,29;92,88;82,01;137,76;92,00;105,26;108,84;99,12;91,75;92,66;98,86;80,64;72,94;83,41;84,35;78,01;53,75;57,37;348;1057;1125;1467;2181;1304;1144;1733;1368;1441;1490;1357;1256;1325;1300;1054;954;1091;1078;1103;760;813
12002 Baixo Acre e Purus;12002;10;AC;2;-69,04246816;-9,744933294;90,39;152,26;111,24;95,85;113,09;120,45;93,37;128,82;121,24;111,27;113,81;106,55;114,7;115,82;117,14;112,71;119,32;117,35;109,84;117,38;118,82;113,1;107,07;99,7;104,34;98,54;81,38;76,58;66,33;108,81;370246;382905;395707;408542;421142;433962;446821;459411;472087;484485;495977;505021;514319;523223;532325;541518;550080;558537;567331;576027;584633;593149;13200,32;14050,57;15676,11;16895,84;12,5;8,2;7443;12411;9098;7559;9190;10079;9433;12166;12022;10980;11269;10930;11773;11690;12323;11097;11748;11554;10815;12391;11865;11871;11161;10393;10159;9756;8057;7385;4896;9725;9817;9870;9886;9832;9791;9918;9981;10058;10123;10013;10103;10295;9930;10083;10146;9640;9575;9889;9841;9803;9766;10404;10535;10639;10697;10682;10687;10782;10807;10841;10866;10698;9908;10010;10218;9871;10040;10124;9606;9533;9836;9777;9737;2807;6763;10213;9377;12108;10534;9785;10881;10716;10281;9169;10696;9438;10468;10359;8947;8158;7886;8570;8794;6432;6351;3584;27,78;66,94;108,14;94,56;122,28;102,69;95,33;107,81;101,86;104,42;93,12;108,63;95,86;99,17;103,74;85,24;78,26;75,65;88,02;88,82;64,96;65,86;49,08;83,74;111,48;114,08;120,92;118,46;100,75;98,69;107,18;97,94;112,57;99,7;110,84;102,63;92,63;79,86;85,61;72,91;76,01;80,88;85,04;65,82;66,18;48,09;8460;10528;11312;11932;11730;10335;10130;10818;10303;11084;9816;10913;10105;9778;7975;8986;7600;7923;7874;8420;6517;6382;3512;27,78;66,94;108,14;94,56;122,28;102,69;95,33;107,81;101,86;104,42;93,12;108,63;95,86;99,17;103,74;85,24;78,26;75,65;88,02;88,82;64,96;65,86;2807;6763;10213;9377;12108;10534;9785;10881;10716;10281;9169;10696;9438;10468;10359;8947;8158;7886;8570;8794;6432;6351
