Ano;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total;Ano;pop_RO;pop_AC;pop_AM;pop_RR;pop_PA;pop_AP;pop_TO;pop_MA;pop_PI;pop_CE;pop_RN;pop_PB;pop_PE;pop_AL;pop_SE;pop_BA;pop_MG;pop_ES;pop_RJ;pop_SP;pop_PR;pop_SC;pop_RS;pop_MS;pop_MT;pop_GO;pop_DF;pop_Total
1980;12;2;21;2;28;0;0;10;7;31;7;33;120;30;12;42;132;36;210;348;87;23;59;18;4;66;13;1353;1980;231547;146157;708058;37967;1679300;87771;NA;2004743;1090318;2715179;971862;1434917;3173947;1011628;582813;4786462;6710787;1003755;5767590;12519073;3778286;1797635;3921782;663427;544262;1895905;603048;59868219
1981;9;1;14;3;47;4;0;12;6;41;18;43;129;44;8;36;162;42;169;392;93;24;62;27;7;74;20;1487;1981;250335;150798;733407;41362;1737812;91824;367707;2044146;1109497;2761955;993399;1453617;3217329;1033911;597146;4886551;6814170;1027853;5841128;12799601;3818169;1835896;3982404;680780;574047;1905434;620989;61058252
1982;17;5;20;2;36;2;0;8;14;38;18;38;124;35;14;80;156;32;170;397;100;30;70;22;4;55;14;1501;1982;270648;155587;759664;45059;1798362;96064;375981;2084324;1129014;2809536;1015414;1472560;3261304;1056684;611832;4988733;6919145;1052530;5915604;13086416;3858472;1874971;4043962;698587;605462;1915011;639465;62271939
1983;14;4;12;2;54;4;0;18;15;48;17;41;156;52;18;43;139;38;162;529;108;46;55;28;9;65;23;1700;1983;292609;160528;786861;49088;1861023;100499;384314;2125291;1148874;2857938;1037917;1491751;3305881;1079959;626879;5093051;7025737;1077799;5991030;13379657;3899201;1914878;4106473;716859;638596;1924636;658489;63509752
1984;11;4;21;2;40;4;0;15;9;40;7;34;133;44;7;55;175;45;179;571;113;34;68;33;15;58;19;1736;1984;316352;165626;815031;53477;1925866;105140;392618;2167064;1169083;2907173;1060918;1511191;3351066;1103747;642296;5199551;7133972;1103675;6067417;13679469;3940360;1955635;4169949;735610;673543;1934309;678080;64772169
1985;26;2;17;2;34;4;0;12;7;41;8;38;165;58;12;59;162;42;194;543;103;35;73;17;24;67;21;1766;1985;342021;170886;844210;58258;1992969;109995;400879;2209658;1189648;2957256;1084429;1530885;3396869;1128059;658093;5308278;7243874;1130172;6144778;13986000;3981954;1997258;4234407;754851;710402;1944031;698254;66059680
1986;26;6;11;2;54;4;0;11;11;53;7;59;166;43;8;62;145;63;190;542;93;15;69;29;35;64;31;1799;1986;369773;176313;874434;63467;2062410;115073;409094;2253089;1210574;3008202;1108461;1550836;3443299;1152906;674277;5419279;7355469;1157305;6223126;14299399;4023987;2039768;4299861;774595;749279;1953802;719028;67372784
1987;29;11;16;2;44;5;0;16;6;40;12;57;140;47;7;83;140;52;229;589;116;40;81;29;30;82;33;1936;1987;399777;181912;905739;69141;2134270;120387;417169;2297373;1231869;3060026;1133025;1571046;3490362;1178301;690860;5532600;7468783;1185090;6302472;14619821;4066463;2083183;4366327;794856;790284;1963622;740420;68711988
1988;41;6;23;7;47;0;0;23;20;34;15;48;161;61;5;86;148;75;207;583;108;46;106;26;29;91;30;2026;1988;432216;187689;938166;75323;2208634;125946;425107;2342528;1253538;3112742;1158134;1591520;3538070;1204255;707851;5648292;7583843;1213542;6382830;14947423;4109387;2127521;4433821;815646;833532;1973491;762448;70077813
1989;47;6;31;12;51;3;14;28;17;47;14;52;173;66;15;80;168;75;304;671;105;39;142;39;31;91;23;2344;1989;467287;193649;971753;82057;2285590;131761;432798;2388570;1275588;3166367;1183799;1612261;3586429;1230780;725259;5766402;7700676;1242676;6464213;15282366;4152765;2172804;4502357;836981;879147;1983410;785132;71470788
