ID;Data_Medicao;X1;X2;X3;X4;X5;X6;X7;elnino12;elnino34;AAO
1;31/01/1990;168,4;152,8;200,5;208,5;NA;219,7;64;-0,44;0,26;-0,3521
2;28/02/1990;47,1;112,5;123,6;166,2;164;NA;164,2;-0,19;0,52;1,1507
3;31/03/1990;236,6;189,4;153,7;169,5;188,1;157,5;108;-0,36;0,59;0,4142
4;30/04/1990;389,3;327;262,8;252,7;253,7;243,7;195,5;-0,25;0,43;-1,8786
5;31/05/1990;183;230,1;341;181,9;123,2;153,1;53,6;-0,15;0,17;-1,8034
6;30/06/1990;280,8;213,1;221,5;179,7;86;183,8;112,9;-0,14;0,1;0,0931
7;31/07/1990;116,1;82,1;123,5;79,7;NA;78;47,9;-0,6;0,18;-1,2151
8;31/08/1990;43,9;35,9;NA;52,7;19,3;34,5;20,8;-0,4;0,49;0,4657
9;30/09/1990;242,3;309,3;332,1;186,1;227,5;232,6;232,6;-0,23;0,35;1,4816
10;31/10/1990;237,6;256,1;248,2;250,4;163,9;228,3;245,5;-0,54;0,57;0,139
11;30/11/1990;323,4;195;254,5;166,5;278,1;209,1;219,6;-0,75;0,43;-0,359
12;31/12/1990;108,1;101;101,4;123,7;117,6;120,8;152,5;-0,34;0,65;-0,3117
13;31/01/1991;94,2;76,4;147,1;145,4;48,6;74,1;55,1;-0,6;0,7;0,8689
14;28/02/1991;14,9;54,8;19,3;66,6;36,5;NA;82,1;-0,1;0,63;-0,8517
15;31/03/1991;78,5;57,1;45,9;57;100,3;36,6;61,4;-0,01;0,45;0,5223
16;30/04/1991;185,7;160,2;109,7;139,6;330,9;165,3;210,3;-0,48;0,63;-0,6394
17;31/05/1991;136;36,5;45,5;41;54,6;35,2;32,9;0,17;0,63;-0,5386
18;30/06/1991;234,9;299,6;240,7;164,6;178,7;236,1;103,4;0,23;0,51;-1,1546
19;31/07/1991;105,9;108,3;95,4;75,5;130,9;126,1;180,3;0,45;0,46;-1,2202
20;31/08/1991;27,3;104,8;92,4;105,4;57,8;78;114,4;0,43;0,57;0,0355
21;30/09/1991;59,4;95,4;58,5;53,6;59,9;78,8;59,8;0,39;0,5;-0,513
22;31/10/1991;106,6;84;179,5;189,7;47,3;129,6;89,3;0,31;0,78;-0,6232
23;30/11/1991;88,3;49,3;80,7;147,1;25,6;94,6;67,1;0,59;0,82;-0,8042
24;31/12/1991;261,2;230,6;264,3;307,4;322,6;278,3;124,9;0,64;0,96;-2,0675
25;31/01/1992;57,5;167,8;183,2;142,7;82,3;140,3;166,6;0,37;0,76;0,0726
26;29/02/1992;339,3;228,3;164,4;139,1;253,4;NA;87,1;0,61;0,92;-1,6268
27;31/03/1992;124,7;228,5;203,1;242,8;134,4;207,1;197,2;1,24;0,89;-1,0103
28;30/04/1992;132,5;145,5;118,1;65,7;271,1;116,9;166;2,21;0,92;-0,4393
29;31/05/1992;317,9;392,8;386,7;225,5;157,6;205;79,6;2,11;0,67;-2,032
30;30/06/1992;87,8;165,9;109,9;95,2;142,7;138,9;118,4;1;0,47;-2,1933
31;31/07/1992;81,8;142,1;241,6;196,4;127,3;233,5;227,5;0,35;0,55;-0,5662
32;31/08/1992;57,5;129,2;147,8;164,2;83,4;152,6;67;-0,1;0,22;-0,3495
33;30/09/1992;204,6;176,8;186,3;161,8;152,8;186,1;199;-0,3;0,1;0,435
34;31/10/1992;260,9;187,4;136,5;38,9;133,5;108,1;95,4;0;0,03;-0,3194
35;30/11/1992;121,7;125,7;280,2;112,5;77,8;96,4;51,4;-0,1;0,07;0,1218
36;31/12/1992;46,2;78,4;130,3;46,2;67,8;78,7;69;-0,31;0,27;0,2436
37;31/01/1993;306,3;269,6;255,5;271,4;366,3;NA;165,7;-0,03;0,3;-2,0206
38;28/02/1993;63,9;94,4;152,7;67,2;87,9;94,4;106,6;0,42;0,31;0,437
39;31/03/1993;295,5;182,5;197;126,8;109,5;112;71,6;0,65;0,41;-0,3776
40;30/04/1993;161,9;88;75;195,6;66,6;92;34,7;0,97;0,43;0,0872
